threshold,accuracy,coverage,n_calls
0.00,0.5405,1.0000,105943
0.05,0.5405,1.0000,105943
0.10,0.5405,1.0000,105943
0.15,0.5405,1.0000,105943
0.20,0.5405,1.0000,105943
0.25,0.5406,0.9998,105924
0.30,0.5420,0.9943,105339
0.35,0.5475,0.9701,102772
0.40,0.5578,0.9196,97423
0.45,0.5736,0.8300,87929
0.50,0.5913,0.7215,76436
0.55,0.6076,0.6042,64012
0.60,0.6229,0.4644,49201
0.65,0.6364,0.3076,32583
0.70,0.6452,0.1597,16923
0.75,0.6207,0.0620,6564
0.80,0.5455,0.0198,2101
0.85,0.5663,0.0084,890
0.90,0.6961,0.0042,441
0.95,0.5106,0.0004,47
