well,dll,v1,v1_n,tail055_070,tail055_070_n,tail070_085,tail070_085_n
A01,93.25714285714285,91.25964010282776,742,92.85714285714286,723,93.79217273954116,709
A02,90.53318824809575,91.17647058823529,752,91.02402022756004,748,93.3862433862434,723
A03,90.18952062430323,90.14084507042253,747,89.93630573248407,732,91.58878504672897,717
A04,90.77777777777777,90.39692701664532,750,91.28738621586476,733,91.81585677749361,725
A05,90.29126213592232,90.12658227848101,753,91.61372299872936,741,92.27799227799228,735
A06,93.02059496567506,90.62119366626065,758,91.29353233830845,752,92.92389853137517,717
A07,90.40793825799338,89.78562421185372,758,90.5,734,92.90407358738501,725
A08,90.53318824809575,90.57071960297766,751,92.15686274509804,737,92.58777633289986,727
A09,91.80327868852459,90.47619047619048,765,92.2879177377892,751,92.95958279009126,730
A10,91.06945975744212,90.2676399026764,756,91.39650872817955,743,92.03084832904884,729
A11,90.7158836689038,89.4478527607362,755,91.27086007702182,734,91.1651728553137,728
A12,89.92332968236583,90.2439024390244,761,90.85290482076638,754,92.36947791164658,713
B01,92.3162583518931,89.8136645962733,742,90.69767441860465,729,91.51193633952255,711
B02,91.14349775784753,89.93788819875776,753,91.40625,728,91.51193633952255,715
B03,90.91915836101883,90.66834804539722,751,91.52759948652118,732,92.3076923076923,729
B04,90.79822616407982,90.17632241813602,758,90.8745247148289,743,92.53926701570681,726
B06,89.62962962962963,89.90267639902676,762,92.15938303341902,737,91.85750636132316,728
B05,91.32821075740944,89.11138923654568,747,89.68058968058968,742,91.87096774193549,724
B08,90.19607843137256,89.50695322376738,745,91.17259552042161,725,92.09486166007905,722
B07,88.26040554962647,89.3167701863354,749,91.21887287024902,729,91.89542483660131,722
B10,91.3566739606127,89.90147783251231,758,90.55415617128463,741,92.4901185770751,720
B09,89.92416034669556,90.48780487804878,759,92.09844559585493,741,92.27748691099477,729
B11,91.51047409040794,90.42821158690177,757,91.32124352331606,733,92.74611398963731,730
B12,90.54347826086956,90.54916985951469,755,90.77922077922078,741,91.92708333333333,711
C02,92.42937853107344,91.52970922882427,764,91.84713375796179,749,93.18766066838046,728
C01,90.6284454244763,89.77832512315271,751,90.87403598971723,742,92.06349206349206,720
C03,89.96728462377317,90.49382716049382,753,91.62371134020619,730,92.32804232804233,720
C04,88.78205128205128,89.74025974025975,732,90.32679738562092,722,91.34487350199734,706
C05,90.65934065934066,90.03831417624521,752,90.49429657794677,733,92.23803363518758,723
C06,90.990990990991,90.08782936010037,750,91.41025641025641,736,92.87598944591029,721
C07,90.95801937567276,90.02557544757033,748,90.29754204398448,737,92.23684210526316,716
C08,90.66666666666667,90.73359073359073,736,91.76470588235294,727,93.30655957161981,708
C09,89.66630785791173,90.32648125755743,763,91.375,748,91.53846153846153,743
C10,91.05960264900662,90.44117647058823,758,90.55900621118012,750,93.04461942257218,727
C11,90.01074113856069,90.62103929024082,753,92.14659685863874,737,91.94187582562748,728
C12,90.68736141906874,88.70392390011891,765,90.18867924528301,744,90.9814323607427,718
D01,91.31905298759865,91.3375796178344,749,92.81914893617021,729,93.39498018494055,714
D02,90.93886462882097,90.82687338501292,747,91.76470588235294,733,92.23684210526316,719
D03,90.17467248908297,90.51094890510949,758,92.22082810539523,748,93.53562005277045,732
D04,90.29126213592232,90.27777777777777,748,91.14249037227215,737,92.78215223097114,726
D05,90.45005488474204,89.68058968058968,755,91.45408163265306,732,92.26736566186108,722
D06,91.23196448390676,91.11675126903553,756,91.40328697850822,739,92.7536231884058,727
D07,90.55982436882546,90.57788944723617,755,90.95477386934674,747,91.6452442159383,729
D08,88.1104033970276,90.06369426751593,747,92.11563731931669,729,91.52759948652118,727
D09,90.74074074074075,90.3584672435105,761,91.5057915057915,746,93.29829172141919,730
D10,90.37837837837837,90.38461538461539,744,91.33858267716535,730,91.8097754293263,724
D11,90.82969432314411,90.2200488997555,762,91.2128712871287,751,92.83854166666667,721
D12,89.92416034669556,90.31446540880503,753,90.97839898348157,741,92.8476821192053,709
E02,90.52287581699346,90.74315514993481,744,91.09677419354838,729,92.3898531375167,712
E01,90.68255687973998,89.96188055908513,745,90.9438775510204,733,92.25634178905207,718
E03,90.49723756906077,90.04975124378109,746,91.00126742712294,739,92.5925925925926,724
E04,89.33189655172414,89.07766990291262,752,90.02525252525253,737,91.01412066752246,728
E05,89.98911860718172,89.68944099378882,750,90.61696658097686,727,91.60104986876641,718
E06,90.60109289617486,90.11406844106465,746,90.86229086229086,728,91.59120310478654,727
E07,92.57206208425721,90.71518193224593,750,91.03362391033625,742,91.65596919127086,730
E08,89.8068669527897,89.23654568210263,748,90.5440414507772,738,91.3265306122449,721
E09,90.72052401746726,90.24081115335868,752,91.1651728553137,745,91.2932138284251,730
E10,89.82683982683983,89.38271604938272,760,90.54916985951469,734,91.58163265306122,728
E11,91.13082039911308,90.98984771573605,757,91.24365482233503,744,92.26736566186108,731
E12,90.44516829533116,89.62962962962963,749,89.21212121212122,751,90.125,732
F01,91.46067415730337,89.88902589395808,750,90.95607235142118,743,92.53539253539253,729
F02,90.4550499445061,89.51911220715166,744,90.67688378033206,731,92.25634178905207,698
F03,89.96728462377317,89.65071151358345,736,89.75356679636835,732,91.71122994652407,719
F04,91.45394006659268,88.71165644171779,756,90.54224464060529,743,91.4866581956798,727
F05,89.65517241379311,88.67924528301887,745,89.24050632911393,735,91.7222963951936,707
F06,90.31556039173014,90.13906447534767,752,90.50064184852374,745,91.98423127463863,718
