well,dll_b,dll_matched,dll_fi,cfg1_b,cfg1_m,cfg1_fi,cfg3_b,cfg3_m,cfg3_fi
A02,864,750,86.80555555555556,781,690,88.348271446863,796,703,88.31658291457286
A01,839,790,94.15971394517283,794,710,89.4206549118388,819,718,87.66788766788767
A03,854,729,85.36299765807962,771,671,87.02983138780804,794,675,85.01259445843829
A04,850,729,85.76470588235294,783,702,89.65517241379311,808,707,87.5
A06,836,760,90.9090909090909,813,714,87.82287822878229,819,722,88.15628815628816
A05,883,749,84.82446206115516,796,698,87.68844221105527,809,712,88.00988875154512
A08,884,754,85.29411764705883,774,685,88.50129198966408,791,692,87.48419721871049
A07,858,742,86.48018648018648,788,717,90.98984771573605,797,713,89.46047678795483
A09,878,788,89.749430523918,796,720,90.45226130653266,818,715,87.4083129584352
A10,858,749,87.2960372960373,788,702,89.08629441624366,804,707,87.93532338308458
A11,864,739,85.5324074074074,785,689,87.77070063694268,804,718,89.30348258706468
A12,864,740,85.64814814814815,807,713,88.35192069392812,818,706,86.3080684596577
B01,874,778,89.01601830663616,770,663,86.1038961038961,807,697,86.36926889714994
B02,854,771,90.28103044496487,773,693,89.65071151358345,799,701,87.73466833541927
B03,860,768,89.30232558139535,797,687,86.19824341279799,812,689,84.85221674876847
B04,857,761,88.79813302217036,791,708,89.50695322376738,807,711,88.10408921933086
B05,861,743,86.29500580720092,785,688,87.64331210191082,807,689,85.37794299876084
B06,883,781,88.4484711211778,788,719,91.24365482233503,801,721,90.01248439450687
B07,903,769,85.16057585825028,775,698,90.06451612903226,798,703,88.0952380952381
B08,868,738,85.02304147465438,772,683,88.47150259067358,795,701,88.17610062893081
B09,884,731,82.6923076923077,777,688,88.54568854568855,796,688,86.4321608040201
B10,876,748,85.38812785388127,790,701,88.73417721518987,806,702,87.09677419354838
B11,861,791,91.869918699187,780,715,91.66666666666667,808,718,88.86138613861387
B12,873,765,87.62886597938144,796,691,86.80904522613065,801,691,86.26716604244695
C01,859,726,84.51688009313155,792,698,88.13131313131314,808,705,87.25247524752476
C02,848,742,87.5,781,706,90.39692701664532,798,694,86.96741854636592
