well,n_regions,margin,stitch,matched,full_identity,pident,dll_matched
A01,2,0.0,none,719,89.53922789539227,96.64,790
A01,2,0.0,conf,719,89.53922789539227,96.64,790
A01,2,0.0,vote,719,89.53922789539227,96.64,790
A01,2,0.0,wmax,719,89.53922789539227,96.64,790
A01,2,0.02,none,719,89.53922789539227,96.64,790
A01,2,0.02,conf,719,89.53922789539227,96.64,790
A01,2,0.02,vote,719,89.53922789539227,96.64,790
A01,2,0.02,wmax,719,89.53922789539227,96.64,790
A01,2,0.04,none,717,89.29016189290162,96.371,790
A01,2,0.04,conf,719,89.53922789539227,96.64,790
A01,2,0.04,vote,719,89.53922789539227,96.64,790
A01,2,0.04,wmax,719,89.53922789539227,96.64,790
A03,2,0.0,none,654,78.04295942720763,92.635,729
A03,2,0.0,conf,654,78.04295942720763,92.635,729
A03,2,0.0,vote,654,78.04295942720763,92.635,729
A03,2,0.0,wmax,654,78.04295942720763,92.635,729
A03,2,0.02,none,656,78.28162291169451,92.918,729
A03,2,0.02,conf,656,78.28162291169451,92.918,729
A03,2,0.02,vote,656,78.28162291169451,92.918,729
A03,2,0.02,wmax,656,78.28162291169451,92.918,729
A03,2,0.04,none,654,78.04295942720763,92.635,729
A03,2,0.04,conf,655,78.16229116945108,92.776,729
A03,2,0.04,vote,655,78.16229116945108,92.776,729
A03,2,0.04,wmax,655,78.16229116945108,92.776,729
A05,2,0.0,none,705,82.84371327849588,96.049,749
A05,2,0.0,conf,705,82.84371327849588,96.049,749
A05,2,0.0,vote,705,82.84371327849588,96.049,749
A05,2,0.0,wmax,705,82.84371327849588,96.049,749
A05,2,0.02,none,704,82.7262044653349,95.913,749
A05,2,0.02,conf,705,82.84371327849588,96.049,749
A05,2,0.02,vote,705,82.84371327849588,96.049,749
A05,2,0.02,wmax,705,82.84371327849588,96.049,749
A05,2,0.04,none,704,82.7262044653349,95.913,749
A05,2,0.04,conf,705,82.84371327849588,96.049,749
A05,2,0.04,vote,705,82.84371327849588,96.049,749
A05,2,0.04,wmax,705,82.84371327849588,96.049,749
A07,2,0.0,none,663,78.92857142857143,89.113,742
A07,2,0.0,conf,663,78.92857142857143,89.113,742
A07,2,0.0,vote,663,78.92857142857143,89.113,742
A07,2,0.0,wmax,663,78.92857142857143,89.113,742
A07,2,0.02,none,663,78.92857142857143,89.113,742
A07,2,0.02,conf,663,78.92857142857143,89.113,742
A07,2,0.02,vote,665,79.16666666666667,89.382,742
A07,2,0.02,wmax,663,78.92857142857143,89.113,742
A07,2,0.04,none,659,78.45238095238095,88.575,742
A07,2,0.04,conf,661,78.69047619047619,88.844,742
A07,2,0.04,vote,663,78.92857142857143,89.113,742
A07,2,0.04,wmax,661,78.69047619047619,88.844,742
A09,2,0.0,none,728,83.77445339470655,96.933,788
A09,2,0.0,conf,728,83.77445339470655,96.933,788
A09,2,0.0,vote,728,83.77445339470655,96.933,788
A09,2,0.0,wmax,728,83.77445339470655,96.933,788
A09,2,0.02,none,728,83.77445339470655,96.933,788
A09,2,0.02,conf,728,83.77445339470655,96.933,788
A09,2,0.02,vote,728,83.77445339470655,96.933,788
A09,2,0.02,wmax,728,83.77445339470655,96.933,788
A09,2,0.04,none,728,83.77445339470655,96.933,788
A09,2,0.04,conf,728,83.77445339470655,96.933,788
A09,2,0.04,vote,728,83.77445339470655,96.933,788
A09,2,0.04,wmax,728,83.77445339470655,96.933,788
A11,2,0.0,none,723,85.76512455516014,96.529,739
A11,2,0.0,conf,723,85.76512455516014,96.529,739
A11,2,0.0,vote,723,85.76512455516014,96.529,739
A11,2,0.0,wmax,723,85.76512455516014,96.529,739
A11,2,0.02,none,723,85.76512455516014,96.529,739
A11,2,0.02,conf,723,85.76512455516014,96.529,739
A11,2,0.02,vote,723,85.76512455516014,96.529,739
A11,2,0.02,wmax,723,85.76512455516014,96.529,739
A11,2,0.04,none,722,85.64650059311981,96.395,739
A11,2,0.04,conf,723,85.76512455516014,96.529,739
A11,2,0.04,vote,723,85.76512455516014,96.529,739
A11,2,0.04,wmax,723,85.76512455516014,96.529,739
B02,2,0.0,none,737,87.84266984505363,94.73,771
B02,2,0.0,conf,737,87.84266984505363,94.73,771
B02,2,0.0,vote,737,87.84266984505363,94.73,771
B02,2,0.0,wmax,737,87.84266984505363,94.73,771
B02,2,0.02,none,737,87.84266984505363,94.73,771
B02,2,0.02,conf,737,87.84266984505363,94.73,771
B02,2,0.02,vote,737,87.84266984505363,94.73,771
B02,2,0.02,wmax,737,87.84266984505363,94.73,771
B02,2,0.04,none,735,87.60429082240763,94.473,771
B02,2,0.04,conf,736,87.72348033373063,94.602,771
B02,2,0.04,vote,736,87.72348033373063,94.602,771
