well,n_regions,margin,stitch,tail_frac,matched,full_identity,pident,dll_matched
A01,6,0.0,vote,,730,90.9090909090909,95.801,790
A01,6,0.0,conf,,730,90.9090909090909,95.801,790
A01,6,0.02,vote,,733,91.2826899128269,96.194,790
A01,6,0.02,conf,,733,91.2826899128269,96.194,790
A01,6,0.04,vote,,733,91.2826899128269,96.194,790
A01,6,0.04,conf,,732,91.15815691158157,96.063,790
A01,7,0.0,vote,,713,88.7920298879203,97.139,790
A01,7,0.0,conf,,713,88.7920298879203,97.139,790
A01,7,0.02,vote,,724,90.16189290161893,97.181,790
A01,7,0.02,conf,,716,89.16562889165628,97.548,790
A01,7,0.04,vote,,701,87.29763387297633,98.042,790
A01,7,0.04,conf,,701,87.29763387297633,98.042,790
A01,8,0.0,vote,,722,89.91282689912826,96.783,790
A01,8,0.0,conf,,722,89.91282689912826,96.783,790
A01,8,0.02,vote,,732,91.15815691158157,96.954,790
A01,8,0.02,conf,,731,91.03362391033625,96.821,790
A01,8,0.04,vote,,729,90.78455790784558,96.556,790
A01,8,0.04,conf,,730,90.9090909090909,96.689,790
A01,9,0.0,vote,,709,88.29389788293898,96.594,790
A01,9,0.0,conf,,709,88.29389788293898,96.594,790
A01,9,0.02,vote,,719,89.53922789539227,97.956,790
A01,9,0.02,conf,,720,89.66376089663761,98.093,790
A01,9,0.04,vote,,718,89.41469489414695,97.687,790
A01,9,0.04,conf,,719,89.53922789539227,97.823,790
A03,6,0.0,vote,,674,80.42959427207637,94.663,729
A03,6,0.0,conf,,674,80.42959427207637,94.663,729
A03,6,0.02,vote,,674,80.42959427207637,95.063,729
A03,6,0.02,conf,,674,80.42959427207637,95.063,729
A03,6,0.04,vote,,670,79.95226730310263,94.499,729
A03,6,0.04,conf,,670,79.95226730310263,94.499,729
A03,7,0.0,vote,,696,83.05489260143199,91.821,729
A03,7,0.0,conf,,696,83.05489260143199,91.821,729
A03,7,0.02,vote,,700,83.53221957040573,92.47,729
A03,7,0.02,conf,,699,83.4128878281623,92.338,729
A03,7,0.04,vote,,700,83.53221957040573,92.348,729
A03,7,0.04,conf,,662,78.99761336515513,93.768,729
A03,8,0.0,vote,,663,79.11694510739856,93.644,729
A03,8,0.0,conf,,663,79.11694510739856,93.644,729
A03,8,0.02,vote,,704,84.00954653937947,92.5,729
A03,8,0.02,conf,,704,84.00954653937947,92.5,729
A03,8,0.04,vote,,670,79.95226730310263,93.445,729
A03,8,0.04,conf,,701,83.65155131264916,92.105,729
A03,9,0.0,vote,,671,80.07159904534606,94.774,729
A03,9,0.0,conf,,671,80.07159904534606,94.774,729
A03,9,0.02,vote,,673,80.31026252983294,95.056,729
A03,9,0.02,conf,,671,80.07159904534606,94.774,729
A03,9,0.04,vote,,677,80.78758949880668,94.421,729
A03,9,0.04,conf,,678,80.90692124105011,94.561,729
A05,6,0.0,vote,,724,85.07638072855464,96.662,749
A05,6,0.0,conf,,724,85.07638072855464,96.662,749
A05,6,0.02,vote,,727,85.4289071680376,97.063,749
A05,6,0.02,conf,,727,85.4289071680376,97.063,749
A05,6,0.04,vote,,727,85.4289071680376,97.063,749
A05,6,0.04,conf,,727,85.4289071680376,97.063,749
A05,7,0.0,vote,,713,83.78378378378379,97.139,749
A05,7,0.0,conf,,713,83.78378378378379,97.139,749
A05,7,0.02,vote,,711,83.54876615746181,96.866,749
A05,7,0.02,conf,,712,83.6662749706228,97.003,749
A05,7,0.04,vote,,712,83.6662749706228,97.003,749
A05,7,0.04,conf,,710,83.43125734430082,96.73,749
A05,8,0.0,vote,,709,83.31374853113984,96.594,749
A05,8,0.0,conf,,709,83.31374853113984,96.594,749
A05,8,0.02,vote,,708,83.19623971797886,96.458,749
A05,8,0.02,conf,,708,83.19623971797886,96.458,749
A05,8,0.04,vote,,714,83.90129259694477,95.839,749
A05,8,0.04,conf,,706,82.96122209165688,96.185,749
A05,9,0.0,vote,,714,83.90129259694477,97.275,749
A05,9,0.0,conf,,714,83.90129259694477,97.275,749
A05,9,0.02,vote,,715,84.01880141010575,97.411,749
A05,9,0.02,conf,,715,84.01880141010575,97.411,749
A05,9,0.04,vote,,709,83.31374853113984,96.594,749
A05,9,0.04,conf,,710,83.43125734430082,96.73,749
A07,6,0.0,vote,,666,79.28571428571429,88.079,742
A07,6,0.0,conf,,666,79.28571428571429,88.079,742
A07,6,0.02,vote,,665,79.16666666666667,87.947,742
A07,6,0.02,conf,,665,79.16666666666667,87.947,742
A07,6,0.04,vote,,658,78.33333333333333,87.717,742
A07,6,0.04,conf,,659,78.45238095238095,87.85,742
A07,7,0.0,vote,,656,78.0952380952381,87.818,742
A07,7,0.0,conf,,656,78.0952380952381,87.818,742
A07,7,0.02,vote,,652,77.61904761904762,87.282,742
A07,7,0.02,conf,,653,77.73809523809524,87.299,742
A07,7,0.04,vote,,654,77.85714285714286,87.55,742
A07,7,0.04,conf,,652,77.61904761904762,87.166,742
A07,8,0.0,vote,,671,79.88095238095238,89.348,742
A07,8,0.0,conf,,671,79.88095238095238,89.348,742
A07,8,0.02,vote,,676,80.47619047619048,90.013,742
A07,8,0.02,conf,,674,80.23809523809524,89.747,742
A07,8,0.04,vote,,656,78.0952380952381,90.234,742
A07,8,0.04,conf,,652,77.61904761904762,89.684,742
