well,n_regions,margin,stitch,tail_frac,matched,full_identity,pident,dll_matched
A01,6,0.0,vote,,700,87.17310087173101,95.492,790
A01,6,0.0,conf,,700,87.17310087173101,95.492,790
A01,6,0.02,vote,,699,87.04856787048568,95.355,790
A01,6,0.02,conf,,699,87.04856787048568,95.355,790
A01,6,0.04,vote,,697,86.79950186799502,95.219,790
A01,6,0.04,conf,,698,86.92403486924034,95.355,790
A01,8,0.0,vote,,722,89.91282689912826,94.751,790
A01,8,0.0,conf,,722,89.91282689912826,94.751,790
A01,8,0.02,vote,,725,90.28642590286425,95.144,790
A01,8,0.02,conf,,713,88.7920298879203,95.576,790
A01,8,0.04,vote,,728,90.66002490660026,94.545,790
A01,8,0.04,conf,,710,88.4184308841843,95.174,790
A03,6,0.0,vote,,652,77.80429594272077,92.351,729
A03,6,0.0,conf,,652,77.80429594272077,92.351,729
A03,6,0.02,vote,,655,78.16229116945108,92.776,729
A03,6,0.02,conf,,691,82.4582338902148,91.161,729
A03,6,0.04,vote,,653,77.9236276849642,92.493,729
A03,6,0.04,conf,,688,82.10023866348449,90.765,729
A03,8,0.0,vote,,667,79.59427207637232,93.548,729
A03,8,0.0,conf,,667,79.59427207637232,93.548,729
A03,8,0.02,vote,,671,80.07159904534606,94.109,729
A03,8,0.02,conf,,671,80.07159904534606,94.109,729
A03,8,0.04,vote,,670,79.95226730310263,93.969,729
A03,8,0.04,conf,,670,79.95226730310263,93.969,729
A05,6,0.0,vote,,711,83.54876615746181,96.866,749
A05,6,0.0,conf,,711,83.54876615746181,96.866,749
A05,6,0.02,vote,,720,84.6063454759107,96.515,749
A05,6,0.02,conf,,709,83.31374853113984,97.123,749
A05,6,0.04,vote,,720,84.6063454759107,96.515,749
A05,6,0.04,conf,,709,83.31374853113984,97.123,749
A05,8,0.0,vote,,703,82.6086956521739,96.296,749
A05,8,0.0,conf,,703,82.6086956521739,96.296,749
A05,8,0.02,vote,,702,82.49118683901293,96.159,749
A05,8,0.02,conf,,701,82.37367802585194,96.022,749
A05,8,0.04,vote,,709,83.31374853113984,95.811,749
A05,8,0.04,conf,,700,82.25616921269095,96.022,749
A07,6,0.0,vote,,651,77.5,86.34,742
A07,6,0.0,conf,,651,77.5,86.34,742
A07,6,0.02,vote,,658,78.33333333333333,87.5,742
A07,6,0.02,conf,,658,78.33333333333333,87.5,742
A07,6,0.04,vote,,657,78.21428571428571,87.367,742
A07,6,0.04,conf,,640,76.19047619047619,88.154,742
A07,8,0.0,vote,,630,75.0,86.301,742
A07,8,0.0,conf,,630,75.0,86.301,742
A07,8,0.02,vote,,636,75.71428571428571,87.123,742
A07,8,0.02,conf,,635,75.5952380952381,86.986,742
A07,8,0.04,vote,,650,77.38095238095238,86.551,742
A07,8,0.04,conf,,633,75.35714285714286,86.831,742
A09,6,0.0,vote,,770,88.60759493670886,95.404,788
A09,6,0.0,conf,,770,88.60759493670886,95.404,788
A09,6,0.02,vote,,772,88.83774453394706,95.652,788
A09,6,0.02,conf,,773,88.95281933256616,95.776,788
A09,6,0.04,vote,,773,88.95281933256616,95.776,788
A09,6,0.04,conf,,773,88.95281933256616,95.776,788
A09,8,0.0,vote,,757,87.11162255466053,95.208,788
A09,8,0.0,conf,,757,87.11162255466053,95.208,788
A09,8,0.02,vote,,774,89.06789413118527,94.84,788
A09,8,0.02,conf,,774,89.06789413118527,94.84,788
A09,8,0.04,vote,,773,88.95281933256616,95.185,788
A09,8,0.04,conf,,773,88.95281933256616,95.185,788
A11,6,0.0,vote,,727,86.23962040332147,96.547,739
A11,6,0.0,conf,,727,86.23962040332147,96.547,739
A11,6,0.02,vote,,730,86.59549228944246,96.946,739
A11,6,0.02,conf,,730,86.59549228944246,96.946,739
A11,6,0.04,vote,,725,86.0023724792408,96.41,739
A11,6,0.04,conf,,726,86.12099644128114,96.543,739
A11,8,0.0,vote,,723,85.76512455516014,96.144,739
A11,8,0.0,conf,,723,85.76512455516014,96.144,739
A11,8,0.02,vote,,723,85.76512455516014,96.144,739
A11,8,0.02,conf,,723,85.76512455516014,96.144,739
A11,8,0.04,vote,,724,85.88374851720047,96.277,739
A11,8,0.04,conf,,723,85.76512455516014,96.144,739
B02,6,0.0,vote,,757,90.22646007151371,94.737,771
B02,6,0.0,conf,,757,90.22646007151371,94.737,771
B02,6,0.02,vote,,759,90.46483909415971,94.987,771
B02,6,0.02,conf,,759,90.46483909415971,94.987,771
B02,6,0.04,vote,,755,89.9880810488677,94.486,771
B02,6,0.04,conf,,757,90.22646007151371,94.737,771
B02,8,0.0,vote,,752,89.63051251489868,94.465,771
B02,8,0.0,conf,,752,89.63051251489868,94.465,771
B02,8,0.02,vote,,753,89.7497020262217,94.591,771
B02,8,0.02,conf,,752,89.63051251489868,94.465,771
B02,8,0.04,vote,,750,89.39213349225268,94.69,771
B02,8,0.04,conf,,715,85.22050059594756,96.231,771
B04,6,0.0,vote,,776,94.06060606060606,94.519,761
B04,6,0.0,conf,,776,94.06060606060606,94.519,761
B04,6,0.02,vote,,776,94.06060606060606,94.519,761
B04,6,0.02,conf,,776,94.06060606060606,94.519,761
B04,6,0.04,vote,,777,94.18181818181819,94.641,761
B04,6,0.04,conf,,776,94.06060606060606,94.519,761
B04,8,0.0,vote,,770,93.33333333333333,95.528,761
B04,8,0.0,conf,,770,93.33333333333333,95.528,761
B04,8,0.02,vote,,772,93.57575757575758,95.901,761
B04,8,0.02,conf,,772,93.57575757575758,95.901,761
B04,8,0.04,vote,,766,92.84848484848484,95.155,761
B04,8,0.04,conf,,766,92.84848484848484,95.155,761
B06,6,0.0,vote,,621,71.46144994246261,92.273,781
B06,6,0.0,conf,,621,71.46144994246261,92.273,781
B06,6,0.02,vote,,676,77.79056386651324,90.495,781
B06,6,0.02,conf,,674,77.56041426927503,90.228,781
B06,6,0.04,vote,,674,77.56041426927503,90.228,781
B06,6,0.04,conf,,674,77.56041426927503,90.228,781
B06,8,0.0,vote,,672,77.33026467203682,88.073,781
B06,8,0.0,conf,,672,77.33026467203682,88.073,781
B06,8,0.02,vote,,675,77.67548906789413,88.583,781
B06,8,0.02,conf,,675,77.67548906789413,88.583,781
B06,8,0.04,vote,,644,74.10817031070195,88.95,781
B06,8,0.04,conf,,644,74.10817031070195,88.95,781
B08,6,0.0,vote,,679,80.07075471698113,95.359,738
B08,6,0.0,conf,,679,80.07075471698113,95.359,738
B08,6,0.02,vote,,680,80.18867924528301,95.499,738
B08,6,0.02,conf,,681,80.30660377358491,95.64,738
B08,6,0.04,vote,,681,80.30660377358491,95.238,738
B08,6,0.04,conf,,683,80.54245283018868,95.518,738
B08,8,0.0,vote,,670,79.00943396226415,95.714,738
B08,8,0.0,conf,,670,79.00943396226415,95.714,738
B08,8,0.02,vote,,671,79.12735849056604,95.72,738
B08,8,0.02,conf,,671,79.12735849056604,95.72,738
B08,8,0.04,vote,,669,78.89150943396227,95.708,738
B08,8,0.04,conf,,670,79.00943396226415,95.714,738
B10,6,0.0,vote,,705,82.07217694994179,96.049,748
B10,6,0.0,conf,,705,82.07217694994179,96.049,748
B10,6,0.02,vote,,706,82.18859138533178,96.185,748
B10,6,0.02,conf,,717,83.46915017462165,95.6,748
B10,6,0.04,vote,,704,81.95576251455181,95.913,748
B10,6,0.04,conf,,714,83.1199068684517,95.2,748
B10,8,0.0,vote,,713,83.0034924330617,96.875,748
B10,8,0.0,conf,,713,83.0034924330617,96.875,748
B10,8,0.02,vote,,715,83.23632130384168,97.147,748
B10,8,0.02,conf,,716,83.35273573923166,97.283,748
B10,8,0.04,vote,,709,82.53783469150174,96.332,748
B10,8,0.04,conf,,711,82.77066356228173,96.603,748
B12,6,0.0,vote,,687,80.06993006993007,95.014,765
B12,6,0.0,conf,,687,80.06993006993007,95.014,765
B12,6,0.02,vote,,702,81.81818181818181,94.858,765
B12,6,0.02,conf,,702,81.81818181818181,94.858,765
B12,6,0.04,vote,,706,82.28438228438229,95.399,765
B12,6,0.04,conf,,705,82.16783216783217,95.264,765
B12,8,0.0,vote,,702,81.81818181818181,94.986,765
B12,8,0.0,conf,,702,81.81818181818181,94.986,765
B12,8,0.02,vote,,698,81.35198135198135,94.444,765
B12,8,0.02,conf,,698,81.35198135198135,94.444,765
B12,8,0.04,vote,,688,80.18648018648018,94.498,765
B12,8,0.04,conf,,694,80.88578088578089,94.03,765
C01,6,0.0,vote,,700,83.03677342823251,96.953,726
C01,6,0.0,conf,,700,83.03677342823251,96.953,726
C01,6,0.02,vote,,708,83.98576512455516,96.589,726
C01,6,0.02,conf,,708,83.98576512455516,96.589,726
C01,6,0.04,vote,,712,84.46026097271648,97.135,726
C01,6,0.04,conf,,712,84.46026097271648,97.135,726
C01,8,0.0,vote,,695,82.44365361803084,97.75,726
C01,8,0.0,conf,,695,82.44365361803084,97.75,726
C01,8,0.02,vote,,697,82.68090154211151,98.031,726
C01,8,0.02,conf,,695,82.44365361803084,97.75,726
C01,8,0.04,vote,,695,82.44365361803084,98.164,726
C01,8,0.04,conf,,692,82.08778173190984,97.74,726
C03,6,0.0,vote,,661,77.67332549941246,92.958,763
C03,6,0.0,conf,,661,77.67332549941246,92.958,763
C03,6,0.02,vote,,658,77.3207990599295,93.857,763
C03,6,0.02,conf,,657,77.2032902467685,93.714,763
C03,6,0.04,vote,,666,78.26086956521739,93.927,763
C03,6,0.04,conf,,659,77.43830787309048,94.0,763
C03,8,0.0,vote,,655,76.96827262044653,93.705,763
C03,8,0.0,conf,,655,76.96827262044653,93.705,763
C03,8,0.02,vote,,662,77.79083431257344,94.564,763
C03,8,0.02,conf,,662,77.79083431257344,94.564,763
C03,8,0.04,vote,,668,78.49588719153937,94.879,763
C03,8,0.04,conf,,666,78.26086956521739,94.595,763
C05,6,0.0,vote,,709,84.4047619047619,96.594,732
C05,6,0.0,conf,,709,84.4047619047619,96.594,732
C05,6,0.02,vote,,708,84.28571428571429,96.458,732
C05,6,0.02,conf,,708,84.28571428571429,96.458,732
C05,6,0.04,vote,,709,84.4047619047619,96.594,732
C05,6,0.04,conf,,708,84.28571428571429,96.458,732
C05,8,0.0,vote,,688,81.9047619047619,96.765,732
C05,8,0.0,conf,,688,81.9047619047619,96.765,732
C05,8,0.02,vote,,690,82.14285714285714,97.046,732
C05,8,0.02,conf,,688,81.9047619047619,96.765,732
C05,8,0.04,vote,,691,82.26190476190476,97.187,732
C05,8,0.04,conf,,687,81.78571428571429,96.624,732
C07,6,0.0,vote,,629,71.15384615384616,88.095,783
C07,6,0.0,conf,,629,71.15384615384616,88.095,783
C07,6,0.02,vote,,673,76.13122171945702,86.061,783
C07,6,0.02,conf,,628,71.04072398190046,87.832,783
C07,6,0.04,vote,,624,70.58823529411765,87.64,783
C07,6,0.04,conf,,627,70.92760180995475,87.815,783
C07,8,0.0,vote,,687,77.71493212669684,87.964,783
C07,8,0.0,conf,,687,77.71493212669684,87.964,783
C07,8,0.02,vote,,690,78.05429864253394,88.235,783
C07,8,0.02,conf,,691,78.16742081447964,88.59,783
C07,8,0.04,vote,,687,77.71493212669684,87.964,783
C07,8,0.04,conf,,688,77.82805429864253,88.318,783
C09,6,0.0,vote,,712,81.46453089244851,97.003,736
C09,6,0.0,conf,,712,81.46453089244851,97.003,736
C09,6,0.02,vote,,713,81.57894736842105,97.139,736
C09,6,0.02,conf,,713,81.57894736842105,97.139,736
C09,6,0.04,vote,,713,81.57894736842105,97.139,736
C09,6,0.04,conf,,712,81.46453089244851,97.003,736
C09,8,0.0,vote,,723,82.72311212814645,96.917,736
C09,8,0.0,conf,,723,82.72311212814645,96.917,736
C09,8,0.02,vote,,722,82.6086956521739,96.783,736
C09,8,0.02,conf,,722,82.6086956521739,96.783,736
C09,8,0.04,vote,,708,81.00686498855835,96.721,736
C09,8,0.04,conf,,708,81.00686498855835,96.721,736
C11,6,0.0,vote,,667,76.14155251141553,93.68,769
C11,6,0.0,conf,,667,76.14155251141553,93.68,769
C11,6,0.02,vote,,668,76.25570776255708,93.82,769
C11,6,0.02,conf,,667,76.14155251141553,93.68,769
C11,6,0.04,vote,,674,76.94063926940639,93.481,769
C11,6,0.04,conf,,673,76.82648401826484,93.343,769
C11,8,0.0,vote,,676,77.1689497716895,94.282,769
C11,8,0.0,conf,,676,77.1689497716895,94.282,769
C11,8,0.02,vote,,681,77.73972602739725,94.979,769
C11,8,0.02,conf,,681,77.73972602739725,94.979,769
C11,8,0.04,vote,,680,77.62557077625571,94.444,769
C11,8,0.04,conf,,679,77.51141552511416,94.306,769
D02,6,0.0,vote,,727,86.44470868014268,96.676,738
D02,6,0.0,conf,,727,86.44470868014268,96.676,738
D02,6,0.02,vote,,706,83.94768133174792,97.514,738
D02,6,0.02,conf,,706,83.94768133174792,97.514,738
D02,6,0.04,vote,,705,83.82877526753865,97.376,738
D02,6,0.04,conf,,705,83.82877526753865,97.376,738
D02,8,0.0,vote,,709,84.30439952437574,97.928,738
D02,8,0.0,conf,,709,84.30439952437574,97.928,738
D02,8,0.02,vote,,708,84.18549346016647,97.79,738
D02,8,0.02,conf,,709,84.30439952437574,97.928,738
D02,8,0.04,vote,,706,83.94768133174792,97.514,738
D02,8,0.04,conf,,707,84.0665873959572,97.652,738
D04,6,0.0,vote,,678,80.61831153388823,92.877,740
D04,6,0.0,conf,,678,80.61831153388823,92.877,740
D04,6,0.02,vote,,664,78.95362663495838,93.39,740
D04,6,0.02,conf,,665,79.07253269916765,93.53,740
D04,6,0.04,vote,,666,79.19143876337694,93.671,740
D04,6,0.04,conf,,667,79.3103448275862,93.812,740
D04,8,0.0,vote,,665,79.07253269916765,94.326,740
D04,8,0.0,conf,,665,79.07253269916765,94.326,740
D04,8,0.02,vote,,668,79.42925089179548,94.752,740
D04,8,0.02,conf,,670,79.66706302021403,95.035,740
D04,8,0.04,vote,,668,79.42925089179548,94.886,740
D04,8,0.04,conf,,670,79.66706302021403,95.17,740
D06,6,0.0,vote,,711,85.1497005988024,98.204,730
D06,6,0.0,conf,,711,85.1497005988024,98.204,730
D06,6,0.02,vote,,711,85.1497005988024,98.204,730
D06,6,0.02,conf,,711,85.1497005988024,98.204,730
D06,6,0.04,vote,,711,85.1497005988024,97.531,730
D06,6,0.04,conf,,713,85.38922155688623,97.671,730
D06,8,0.0,vote,,721,86.34730538922156,97.432,730
D06,8,0.0,conf,,721,86.34730538922156,97.432,730
D06,8,0.02,vote,,721,86.34730538922156,97.432,730
D06,8,0.02,conf,,721,86.34730538922156,97.432,730
D06,8,0.04,vote,,716,85.74850299401197,96.888,730
D06,8,0.04,conf,,718,85.9880239520958,97.027,730
D08,6,0.0,vote,,737,85.1039260969977,95.839,751
D08,6,0.0,conf,,737,85.1039260969977,95.839,751
D08,6,0.02,vote,,724,83.60277136258661,96.533,751
D08,6,0.02,conf,,724,83.60277136258661,96.533,751
D08,6,0.04,vote,,723,83.48729792147806,96.529,751
D08,6,0.04,conf,,724,83.60277136258661,96.533,751
D08,8,0.0,vote,,735,84.8729792147806,95.828,751
D08,8,0.0,conf,,735,84.8729792147806,95.828,751
D08,8,0.02,vote,,695,80.2540415704388,97.339,751
D08,8,0.02,conf,,695,80.2540415704388,97.339,751
D08,8,0.04,vote,,707,81.63972286374134,96.453,751
D08,8,0.04,conf,,725,83.71824480369516,95.646,751
D10,6,0.0,vote,,754,87.36964078794901,96.173,773
D10,6,0.0,conf,,754,87.36964078794901,96.173,773
D10,6,0.02,vote,,753,87.25376593279259,96.046,773
D10,6,0.02,conf,,753,87.25376593279259,96.046,773
D10,6,0.04,vote,,753,87.25376593279259,96.046,773
D10,6,0.04,conf,,753,87.25376593279259,96.046,773
D10,8,0.0,vote,,749,86.79026651216687,97.021,773
