well,n_regions,margin,stitch,tail_frac,matched,full_identity,pident,dll_matched
A01,6,0.0,vote,0.6,690,85.92777085927771,95.833,790
A01,6,0.0,vote,0.7,690,85.92777085927771,95.833,790
A01,6,0.0,vote,0.8,691,86.05230386052304,95.972,790
A01,6,0.0,vote,0.9,718,89.41469489414695,96.247,790
A01,6,0.0,conf,0.6,690,85.92777085927771,95.833,790
A01,6,0.0,conf,0.7,690,85.92777085927771,95.833,790
A01,6,0.0,conf,0.8,691,86.05230386052304,95.972,790
A01,6,0.0,conf,0.9,718,89.41469489414695,96.247,790
A01,6,0.0,wmax,0.6,690,85.92777085927771,95.833,790
A01,6,0.0,wmax,0.7,690,85.92777085927771,95.833,790
A01,6,0.0,wmax,0.8,691,86.05230386052304,95.972,790
A01,6,0.0,wmax,0.9,718,89.41469489414695,96.247,790
A01,6,0.02,vote,0.6,690,85.92777085927771,95.833,790
A01,6,0.02,vote,0.7,692,86.17683686176836,96.111,790
A01,6,0.02,vote,0.8,693,86.3013698630137,96.25,790
A01,6,0.02,vote,0.9,721,89.78829389788294,96.649,790
A01,6,0.02,conf,0.6,690,85.92777085927771,95.833,790
A01,6,0.02,conf,0.7,692,86.17683686176836,96.111,790
A01,6,0.02,conf,0.8,693,86.3013698630137,96.25,790
A01,6,0.02,conf,0.9,721,89.78829389788294,96.649,790
A01,6,0.02,wmax,0.6,690,85.92777085927771,95.833,790
A01,6,0.02,wmax,0.7,692,86.17683686176836,96.111,790
A01,6,0.02,wmax,0.8,693,86.3013698630137,96.25,790
A01,6,0.02,wmax,0.9,721,89.78829389788294,96.649,790
A01,8,0.0,vote,0.6,706,87.92029887920299,95.277,790
A01,8,0.0,vote,0.7,706,87.92029887920299,95.277,790
A01,8,0.0,vote,0.8,711,88.54296388542964,95.951,790
A01,8,0.0,vote,0.9,718,89.41469489414695,96.896,790
A01,8,0.0,conf,0.6,706,87.92029887920299,95.277,790
A01,8,0.0,conf,0.7,706,87.92029887920299,95.277,790
A01,8,0.0,conf,0.8,711,88.54296388542964,95.951,790
A01,8,0.0,conf,0.9,718,89.41469489414695,96.896,790
A01,8,0.0,wmax,0.6,706,87.92029887920299,95.277,790
A01,8,0.0,wmax,0.7,706,87.92029887920299,95.277,790
A01,8,0.0,wmax,0.8,711,88.54296388542964,95.951,790
A01,8,0.0,wmax,0.9,718,89.41469489414695,96.896,790
A01,8,0.02,vote,0.6,707,88.04483188044831,95.412,790
A01,8,0.02,vote,0.7,708,88.16936488169365,95.547,790
A01,8,0.02,vote,0.8,713,88.7920298879203,96.221,790
A01,8,0.02,vote,0.9,722,89.91282689912826,97.436,790
A01,8,0.02,conf,0.6,707,88.04483188044831,95.412,790
A01,8,0.02,conf,0.7,708,88.16936488169365,95.547,790
A01,8,0.02,conf,0.8,713,88.7920298879203,96.221,790
A01,8,0.02,conf,0.9,721,89.78829389788294,97.301,790
A01,8,0.02,wmax,0.6,707,88.04483188044831,95.412,790
A01,8,0.02,wmax,0.7,708,88.16936488169365,95.547,790
A01,8,0.02,wmax,0.8,713,88.7920298879203,96.221,790
A01,8,0.02,wmax,0.9,721,89.78829389788294,97.301,790
A03,6,0.0,vote,0.6,651,77.68496420047732,93.266,729
A03,6,0.0,vote,0.7,657,78.40095465393794,94.126,729
A03,6,0.0,vote,0.8,662,78.99761336515513,94.978,729
A03,6,0.0,vote,0.9,674,80.42959427207637,94.663,729
A03,6,0.0,conf,0.6,651,77.68496420047732,93.266,729
A03,6,0.0,conf,0.7,657,78.40095465393794,94.126,729
A03,6,0.0,conf,0.8,662,78.99761336515513,94.978,729
A03,6,0.0,conf,0.9,674,80.42959427207637,94.663,729
A03,6,0.0,wmax,0.6,651,77.68496420047732,93.266,729
A03,6,0.0,wmax,0.7,657,78.40095465393794,94.126,729
A03,6,0.0,wmax,0.8,662,78.99761336515513,94.978,729
A03,6,0.0,wmax,0.9,674,80.42959427207637,94.663,729
A03,6,0.02,vote,0.6,652,77.80429594272077,93.41,729
A03,6,0.02,vote,0.7,659,78.63961813842482,94.413,729
A03,6,0.02,vote,0.8,664,79.23627684964201,95.265,729
A03,6,0.02,vote,0.9,674,80.42959427207637,95.063,729
A03,6,0.02,conf,0.6,652,77.80429594272077,93.41,729
A03,6,0.02,conf,0.7,659,78.63961813842482,94.413,729
A03,6,0.02,conf,0.8,664,79.23627684964201,95.265,729
A03,6,0.02,conf,0.9,674,80.42959427207637,95.063,729
A03,6,0.02,wmax,0.6,652,77.80429594272077,93.41,729
A03,6,0.02,wmax,0.7,659,78.63961813842482,94.413,729
A03,6,0.02,wmax,0.8,664,79.23627684964201,95.265,729
A03,6,0.02,wmax,0.9,674,80.42959427207637,95.063,729
A03,8,0.0,vote,0.6,649,77.44630071599045,92.45,729
A03,8,0.0,vote,0.7,653,77.9236276849642,93.02,729
A03,8,0.0,vote,0.8,655,78.16229116945108,93.438,729
A03,8,0.0,vote,0.9,663,79.11694510739856,93.644,729
A03,8,0.0,conf,0.6,649,77.44630071599045,92.45,729
A03,8,0.0,conf,0.7,653,77.9236276849642,93.02,729
A03,8,0.0,conf,0.8,655,78.16229116945108,93.438,729
A03,8,0.0,conf,0.9,663,79.11694510739856,93.644,729
A03,8,0.0,wmax,0.6,649,77.44630071599045,92.45,729
A03,8,0.0,wmax,0.7,653,77.9236276849642,93.02,729
A03,8,0.0,wmax,0.8,655,78.16229116945108,93.438,729
A03,8,0.0,wmax,0.9,663,79.11694510739856,93.644,729
A03,8,0.02,vote,0.6,652,77.80429594272077,92.877,729
A03,8,0.02,vote,0.7,659,78.63961813842482,93.875,729
A03,8,0.02,vote,0.8,660,78.75894988066825,94.151,729
A03,8,0.02,vote,0.9,704,84.00954653937947,92.5,729
