well,recall,dll_b,dll_cov,dll_id,dll_fi,port_b,port_cov,port_id,port_fi,ref_b,ref_cov,ref_id,ref_fi
A01,96.1,839,95.35160905840286,95.388,94.15971394517283,801,82.896379525593,95.029,81.5230961298377,709,93.37094499294781,96.476,92.80677009873061
A02,98.6,864,87.96296296296296,96.649,86.80555555555556,736,75.95108695652173,94.407,76.7663043478261,723,93.22268326417704,96.137,93.3609958506224
A03,98.3,854,86.76814988290398,96.556,85.36299765807962,756,74.60317460317461,95.556,74.33862433862434,717,89.8186889818689,95.509,89.6792189679219
A04,98.0,850,86.58823529411765,97.852,85.76470588235294,696,73.85057471264368,92.072,75.7183908045977,725,92.41379310344827,95.143,92.13793103448276
A05,99.4,883,85.6172140430351,97.273,84.82446206115516,719,73.15716272600835,92.077,74.96522948539638,735,92.51700680272108,95.904,92.38095238095238
A06,98.4,836,91.14832535885168,96.692,90.9090909090909,797,86.82559598494353,93.931,86.44918444165621,717,89.9581589958159,97.285,89.9581589958159
A07,97.8,858,87.87878787878788,96.61,86.48018648018648,779,81.38639281129653,93.553,81.38639281129653,725,90.75862068965517,96.476,91.03448275862068
A08,99.7,884,85.85972850678733,98.049,85.29411764705883,750,80.0,93.427,80.93333333333334,727,92.70976616231087,95.863,92.43466299862449
A09,98.5,878,90.7744874715262,96.088,89.749430523918,822,82.7250608272506,95.021,81.6301703163017,730,92.73972602739725,95.892,92.87671232876713
A10,98.3,858,87.99533799533799,96.895,87.2960372960373,782,82.86445012787723,93.869,83.37595907928389,729,93.55281207133059,95.112,93.82716049382717
A11,98.3,864,86.92129629629629,97.109,85.5324074074074,762,80.18372703412074,91.629,81.23359580052494,728,90.7967032967033,95.894,89.97252747252747
A12,98.1,864,85.99537037037037,97.113,85.64814814814815,795,83.8993710691824,94.092,82.89308176100629,713,89.90182328190744,96.38,89.76157082748948
B02,98.4,854,91.21779859484778,96.015,90.28103044496487,788,83.88324873096447,93.074,82.86802030456853,715,91.04895104895105,95.387,89.93006993006993
B01,97.1,874,90.8466819221968,96.406,89.01601830663616,804,84.95024875621891,92.788,83.70646766169155,711,91.27988748241913,95.542,90.85794655414908
B04,98.5,857,90.31505250875146,96.086,88.79813302217036,715,76.64335664335664,92.034,78.18181818181819,726,94.90358126721763,94.737,94.62809917355372
B03,98.2,860,90.5813953488372,95.761,89.30232558139535,765,79.47712418300654,94.497,79.2156862745098,729,90.94650205761317,95.791,90.6721536351166
B05,98.7,861,87.10801393728222,97.507,86.29500580720092,749,75.9679572763685,94.463,76.50200267022697,724,91.71270718232044,96.076,91.57458563535911
B06,99.3,883,89.46772366930918,96.059,88.4484711211778,735,81.36054421768708,92.117,83.80952380952381,728,90.93406593406593,95.791,90.93406593406593
B07,99.6,903,88.37209302325581,94.328,85.16057585825028,721,76.56033287101248,92.568,78.2246879334258,722,90.99722991689751,95.197,91.41274238227147
B08,99.6,868,85.25345622119816,97.487,85.02304147465438,735,74.421768707483,92.373,76.3265306122449,722,88.6426592797784,96.505,88.08864265927978
B09,99.9,884,83.2579185520362,97.855,82.6923076923077,707,72.7015558698727,93.26,74.39886845827439,729,88.88888888888889,96.562,89.02606310013718
B10,99.6,876,85.84474885844749,98.163,85.38812785388127,734,77.11171662125341,92.409,78.33787465940054,720,92.22222222222223,96.193,91.52777777777777
B11,98.7,861,92.91521486643438,94.958,91.869918699187,763,83.35517693315859,92.094,84.53473132372216,730,94.24657534246575,95.152,94.10958904109589
B12,99.3,873,88.20160366552119,96.465,87.62886597938144,754,83.95225464190982,91.912,84.21750663129974,711,91.13924050632912,96.269,90.9985935302391
C01,97.2,859,85.68102444703143,97.844,84.51688009313155,815,80.98159509202453,95.175,80.0,720,90.13888888888889,96.562,89.86111111111111
C02,98.2,848,88.67924528301887,97.757,87.5,785,84.8407643312102,95.488,83.94904458598727,728,92.3076923076923,96.97,92.58241758241758
C03,97.6,867,89.04267589388697,96.081,88.00461361014995,802,80.42394014962593,94.753,79.42643391521197,720,91.38888888888889,96.193,91.66666666666667
C04,98.3,887,88.61330326944757,93.921,85.9075535512965,686,67.20116618075802,92.073,67.34693877551021,706,91.78470254957507,94.651,90.36827195467423
C05,99.6,863,85.16801853997683,98.123,84.82039397450754,737,78.69742198100407,92.777,80.1899592944369,723,91.00968188105118,96.329,90.73305670816045
C06,98.1,865,87.39884393063583,97.258,86.1271676300578,741,74.7638326585695,93.063,75.97840755735493,721,92.64909847434119,95.671,92.09431345353676
C07,99.7,900,87.66666666666667,96.663,87.0,761,83.5742444152431,91.159,84.49408672798948,716,92.73743016759776,94.986,92.87709497206704
C08,98.4,854,86.53395784543325,97.467,85.71428571428571,730,76.16438356164383,93.888,77.26027397260275,708,95.19774011299435,95.326,95.19774011299435
C09,99.5,883,84.0317100792752,98.003,83.35220838052095,759,81.94993412384717,92.216,83.13570487483531,743,90.1749663526245,95.845,90.1749663526245
C10,98.7,864,86.57407407407408,97.898,86.22685185185185,769,79.06371911573473,93.75,79.58387516254876,727,91.74690508940853,96.248,92.15955983493811
