well,readlen,N,pct_identity,insertions,deletions,refRC_start,refRC_end,cols,status
A01,841,2,95.4,8,24,964,1779,824,ok
A02,870,6,97.4,4,8,975,1725,755,ok
A03,859,5,96.6,8,11,975,1721,755,ok
A04,857,7,97.7,4,8,981,1724,748,ok
A05,888,5,97.1,4,14,975,1741,771,ok
A06,841,5,95.2,1,29,975,1802,829,ok
A07,862,4,96.5,10,13,968,1725,768,ok
A08,891,7,98.0,2,10,975,1741,769,ok
A09,882,4,96.1,4,20,966,1779,818,ok
A10,862,4,97.1,3,15,975,1736,765,ok
A11,870,6,97.1,8,9,975,1727,761,ok
A12,870,6,97.1,1,19,987,1747,762,ok
B01,876,2,96.4,6,13,975,1775,807,ok
B02,863,9,96.0,3,21,975,1774,803,ok
B03,866,6,95.8,8,22,967,1760,802,ok
B04,865,8,96.1,8,18,975,1758,792,ok
B05,864,3,97.5,5,12,963,1719,762,ok
B06,896,13,95.9,2,22,965,1775,813,ok
B07,912,9,94.1,23,13,969,1758,813,ok
B08,876,8,97.5,0,16,964,1719,756,ok
B09,887,3,97.9,4,10,980,1721,746,ok
B10,882,6,98.2,3,9,967,1725,762,ok
B11,863,2,95.0,5,32,975,1802,833,ok
B12,879,6,96.1,4,23,975,1772,802,ok
C01,864,5,97.5,7,7,975,1719,752,ok
C02,856,8,97.9,7,5,975,1721,754,ok
C03,878,11,96.1,6,18,975,1759,791,ok
C04,900,13,94.4,23,10,975,1736,785,ok
C05,870,7,98.1,1,10,975,1719,746,ok
C06,870,5,97.3,4,10,975,1736,766,ok
C07,907,7,96.7,4,19,975,1779,809,ok
C08,857,3,97.5,5,10,971,1715,750,ok
C09,893,10,98.0,3,8,971,1719,752,ok
C10,868,4,97.9,1,12,971,1730,761,ok
C11,902,3,96.4,12,13,971,1756,798,ok
C12,858,4,97.7,3,9,975,1719,748,ok
D01,874,9,96.6,10,11,975,1755,791,ok
D02,862,8,97.9,3,11,975,1725,754,ok
D03,861,3,96.2,1,22,967,1746,781,ok
D04,880,3,97.5,7,8,968,1721,761,ok
D05,876,5,97.0,1,19,975,1749,776,ok
D06,850,4,98.3,0,10,975,1719,745,ok
D07,870,6,97.6,6,11,975,1715,747,ok
