folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_GSTT1_021110_sampleplateRun01,A01,2803.0,,,
OY_GSTT1_021110_sampleplateRun01,A01,,2817.0,,
OY_GSTT1_021110_sampleplateRun01,A01,,,2830.0,
OY_GSTT1_021110_sampleplateRun01,A01,,,,2842.0
OY_GSTT1_021110_sampleplateRun01,A02,2822.0,,,
OY_GSTT1_021110_sampleplateRun01,A02,,2835.0,,
OY_GSTT1_021110_sampleplateRun01,A02,,,2848.0,
OY_GSTT1_021110_sampleplateRun01,A02,,,,2859.0
OY_GSTT1_021110_sampleplateRun01,A03,3672.0,,,
OY_GSTT1_021110_sampleplateRun01,A03,,3681.0,,
OY_GSTT1_021110_sampleplateRun01,A03,,,3694.0,
OY_GSTT1_021110_sampleplateRun01,A03,,,,3707.0
OY_GSTT1_021110_sampleplateRun01,A04,3467.0,,,
OY_GSTT1_021110_sampleplateRun01,A04,,3480.0,,
OY_GSTT1_021110_sampleplateRun01,A04,,,3494.0,
OY_GSTT1_021110_sampleplateRun01,A04,,,,3505.0
OY_GSTT1_021110_sampleplateRun01,A05,3150.0,,,
OY_GSTT1_021110_sampleplateRun01,A05,,3162.0,,
OY_GSTT1_021110_sampleplateRun01,A05,,,3174.0,
OY_GSTT1_021110_sampleplateRun01,A05,,,,3185.0
OY_GSTT1_021110_sampleplateRun01,A06,3352.0,,,
OY_GSTT1_021110_sampleplateRun01,A06,,3364.0,,
OY_GSTT1_021110_sampleplateRun01,A06,,,3380.0,
OY_GSTT1_021110_sampleplateRun01,A06,,,,3391.0
OY_GSTT1_021110_sampleplateRun01,A07,3025.0,,,
OY_GSTT1_021110_sampleplateRun01,A07,,3037.0,,
OY_GSTT1_021110_sampleplateRun01,A07,,,3049.0,
OY_GSTT1_021110_sampleplateRun01,A07,,,,3062.0
OY_GSTT1_021110_sampleplateRun01,A08,3790.0,,,
OY_GSTT1_021110_sampleplateRun01,A08,,3801.0,,
OY_GSTT1_021110_sampleplateRun01,A08,,,3811.0,
OY_GSTT1_021110_sampleplateRun01,A08,,,,3824.0
OY_GSTT1_021110_sampleplateRun01,A09,3782.0,,,
OY_GSTT1_021110_sampleplateRun01,A09,,3792.0,,
OY_GSTT1_021110_sampleplateRun01,A09,,,3804.0,
OY_GSTT1_021110_sampleplateRun01,A09,,,,3820.0
OY_GSTT1_021110_sampleplateRun01,A10,3793.0,,,
OY_GSTT1_021110_sampleplateRun01,A10,,3806.0,,
OY_GSTT1_021110_sampleplateRun01,A10,,,3818.0,
