folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_GSTT1_021110_sampleplateRun01,A01,2803,2817,2830,2842.0
OY_GSTT1_021110_sampleplateRun01,A02,2822,2835,2848,2859.0
OY_GSTT1_021110_sampleplateRun01,A03,3672,3681,3694,3707.0
OY_GSTT1_021110_sampleplateRun01,A04,3467,3480,3494,3505.0
OY_GSTT1_021110_sampleplateRun01,A05,3150,3162,3174,3185.0
OY_GSTT1_021110_sampleplateRun01,A06,3352,3364,3380,3391.0
OY_GSTT1_021110_sampleplateRun01,A07,3025,3037,3049,3062.0
OY_GSTT1_021110_sampleplateRun01,A08,3790,3801,3811,3824.0
OY_GSTT1_021110_sampleplateRun01,A09,3782,3792,3804,3820.0
OY_GSTT1_021110_sampleplateRun01,A10,3793,3806,3818,3833.0
OY_GSTT1_021110_sampleplateRun01,A11,3557,3568,3581,3595.0
OY_GSTT1_021110_sampleplateRun01,A12,3703,3717,3729,3742.0
OY_GSTT1_021110_sampleplateRun01,B01,3773,3787,3802,3812.0
OY_GSTT1_021110_sampleplateRun01,B02,3734,3749,3761,3773.0
OY_GSTT1_021110_sampleplateRun01,B03,3050,3062,3076,3089.0
OY_GSTT1_021110_sampleplateRun01,B04,2999,3013,3024,3033.0
OY_GSTT1_021110_sampleplateRun01,B05,3790,3803,3815,3827.0
OY_GSTT1_021110_sampleplateRun01,B06,3810,3823,3837,3844.0
OY_GSTT1_021110_sampleplateRun01,B07,3023,3033,3044,3052.0
OY_GSTT1_021110_sampleplateRun01,B08,3180,3193,3205,3218.0
OY_GSTT1_021110_sampleplateRun01,B09,2817,2832,2847,2860.0
OY_GSTT1_021110_sampleplateRun01,B10,2831,2843,2856,2865.0
OY_GSTT1_021110_sampleplateRun01,B11,2803,2817,2831,2844.0
OY_GSTT1_021110_sampleplateRun01,B12,2737,2749,2762,2774.0
OY_GSTT1_021110_sampleplateRun01,C01,2820,2833,2844,2858.0
OY_GSTT1_021110_sampleplateRun01,C02,2827,2841,2855,2868.0
OY_GSTT1_021110_sampleplateRun01,C03,3797,3810,3824,3836.0
OY_GSTT1_021110_sampleplateRun01,C04,3024,3038,3051,3064.0
OY_GSTT1_021110_sampleplateRun01,C05,5,17,30,40.0
OY_GSTT1_021110_sampleplateRun01,C06,3812,3825,3837,3842.0
OY_GSTT1_021110_sampleplateRun01,C07,2974,2987,3000,3013.0
OY_GSTT1_021110_sampleplateRun01,C08,3097,3111,3122,3137.0
OY_GSTT1_021110_sampleplateRun01,C09,3720,3732,3741,3752.0
OY_GSTT1_021110_sampleplateRun01,C10,3779,3789,3800,3814.0
OY_GSTT1_021110_sampleplateRun01,C11,3808,3821,3834,3847.0
OY_GSTT1_021110_sampleplateRun01,C12,3744,3757,3771,3785.0
OY_GSTT1_021110_sampleplateRun01,D01,3687,3701,3715,3727.0
OY_GSTT1_021110_sampleplateRun01,D02,3626,3640,3654,3666.0
OY_GSTT1_021110_sampleplateRun01,D03,3017,3030,3044,3056.0
OY_GSTT1_021110_sampleplateRun01,D04,3144,3158,3174,3187.0
