folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_ABCC2_N10_170910Run01,A01,2448.0,,,
OY_ABCC2_N10_170910Run01,A01,,2508.0,,
OY_ABCC2_N10_170910Run01,A01,,,2727.0,
OY_ABCC2_N10_170910Run01,A01,,,,2738.0
OY_ABCC2_N10_170910Run01,A02,2435.0,,,
OY_ABCC2_N10_170910Run01,A02,,2510.0,,
OY_ABCC2_N10_170910Run01,A02,,,2729.0,
OY_ABCC2_N10_170910Run01,A02,,,,2742.0
OY_ABCC2_N10_170910Run01,A03,2443.0,,,
OY_ABCC2_N10_170910Run01,A03,,2508.0,,
OY_ABCC2_N10_170910Run01,A03,,,2728.0,
OY_ABCC2_N10_170910Run01,A03,,,,2739.0
OY_ABCC2_N10_170910Run01,A04,2440.0,,,
OY_ABCC2_N10_170910Run01,A04,,2509.0,,
OY_ABCC2_N10_170910Run01,A04,,,2731.0,
OY_ABCC2_N10_170910Run01,A04,,,,2739.0
OY_ABCC2_N10_170910Run01,A05,2435.0,,,
OY_ABCC2_N10_170910Run01,A05,,2511.0,,
OY_ABCC2_N10_170910Run01,A05,,,2729.0,
OY_ABCC2_N10_170910Run01,A05,,,,2744.0
OY_ABCC2_N10_170910Run01,A06,2439.0,,,
OY_ABCC2_N10_170910Run01,A06,,2511.0,,
OY_ABCC2_N10_170910Run01,A06,,,2729.0,
OY_ABCC2_N10_170910Run01,A06,,,,2741.0
OY_ABCC2_N10_170910Run01,A07,2437.0,,,
OY_ABCC2_N10_170910Run01,A07,,2508.0,,
OY_ABCC2_N10_170910Run01,A07,,,2728.0,
OY_ABCC2_N10_170910Run01,A07,,,,2739.0
OY_ABCC2_N10_170910Run01,A08,2439.0,,,
OY_ABCC2_N10_170910Run01,A08,,2512.0,,
OY_ABCC2_N10_170910Run01,A08,,,2727.0,
OY_ABCC2_N10_170910Run01,A08,,,,2744.0
OY_ABCC2_N10_170910Run01,A09,2434.0,,,
