folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_CYBA_N1_200910Run01,A01,2145.0,,,
OY_CYBA_N1_200910Run01,A01,,2170.0,,
OY_CYBA_N1_200910Run01,A01,,,2189.0,
OY_CYBA_N1_200910Run01,A01,,,,2215.0
OY_CYBA_N1_200910Run01,A02,2143.0,,,
OY_CYBA_N1_200910Run01,A02,,2173.0,,
OY_CYBA_N1_200910Run01,A02,,,2189.0,
OY_CYBA_N1_200910Run01,A02,,,,2215.0
OY_CYBA_N1_200910Run01,A03,2148.0,,,
OY_CYBA_N1_200910Run01,A03,,2172.0,,
OY_CYBA_N1_200910Run01,A03,,,2190.0,
OY_CYBA_N1_200910Run01,A03,,,,2213.0
OY_CYBA_N1_200910Run01,A04,2148.0,,,
OY_CYBA_N1_200910Run01,A04,,2172.0,,
OY_CYBA_N1_200910Run01,A04,,,2192.0,
OY_CYBA_N1_200910Run01,A04,,,,2213.0
OY_CYBA_N1_200910Run01,A05,2156.0,,,
OY_CYBA_N1_200910Run01,A05,,2168.0,,
OY_CYBA_N1_200910Run01,A05,,,2183.0,
OY_CYBA_N1_200910Run01,A05,,,,2217.0
OY_CYBA_N1_200910Run01,A06,2144.0,,,
OY_CYBA_N1_200910Run01,A06,,2172.0,,
OY_CYBA_N1_200910Run01,A06,,,2188.0,
OY_CYBA_N1_200910Run01,A06,,,,2213.0
OY_CYBA_N1_200910Run01,A07,2146.0,,,
OY_CYBA_N1_200910Run01,A07,,2170.0,,
OY_CYBA_N1_200910Run01,A07,,,2185.0,
OY_CYBA_N1_200910Run01,A07,,,,2213.0
OY_CYBA_N1_200910Run01,A08,2149.0,,,
OY_CYBA_N1_200910Run01,A08,,2169.0,,
OY_CYBA_N1_200910Run01,A08,,,2178.0,
OY_CYBA_N1_200910Run01,A08,,,,2216.0
OY_CYBA_N1_200910Run01,A09,2163.0,,,
OY_CYBA_N1_200910Run01,A09,,2168.0,,
OY_CYBA_N1_200910Run01,A09,,,2188.0,
OY_CYBA_N1_200910Run01,A09,,,,2208.0
OY_CYBA_N1_200910Run01,A10,2145.0,,,
OY_CYBA_N1_200910Run01,A10,,2170.0,,
OY_CYBA_N1_200910Run01,A10,,,2194.0,
OY_CYBA_N1_200910Run01,A10,,,,2211.0
OY_CYBA_N1_200910Run01,A11,2144.0,,,
OY_CYBA_N1_200910Run01,A11,,2178.0,,
OY_CYBA_N1_200910Run01,A11,,,2191.0,
OY_CYBA_N1_200910Run01,A11,,,,2214.0
OY_CYBA_N1_200910Run01,A12,2139.0,,,
OY_CYBA_N1_200910Run01,A12,,2172.0,,
OY_CYBA_N1_200910Run01,A12,,,2189.0,
OY_CYBA_N1_200910Run01,A12,,,,2211.0
OY_CYBA_N1_200910Run01,B01,2143.0,,,
OY_CYBA_N1_200910Run01,B01,,2173.0,,
OY_CYBA_N1_200910Run01,B01,,,2188.0,
OY_CYBA_N1_200910Run01,B01,,,,2206.0
OY_CYBA_N1_200910Run01,B02,2143.0,,,
OY_CYBA_N1_200910Run01,B02,,2170.0,,
OY_CYBA_N1_200910Run01,B02,,,2190.0,
OY_CYBA_N1_200910Run01,B02,,,,2214.0
OY_CYBA_N1_200910Run01,B03,2144.0,,,
OY_CYBA_N1_200910Run01,B03,,2170.0,,
OY_CYBA_N1_200910Run01,B03,,,2187.0,
OY_CYBA_N1_200910Run01,B03,,,,2216.0
OY_CYBA_N1_200910Run01,B04,2147.0,,,
OY_CYBA_N1_200910Run01,B04,,2169.0,,
OY_CYBA_N1_200910Run01,B04,,,2187.0,
OY_CYBA_N1_200910Run01,B04,,,,2216.0
OY_CYBA_N1_200910Run01,B05,2143.0,,,
OY_CYBA_N1_200910Run01,B05,,2170.0,,
OY_CYBA_N1_200910Run01,B05,,,2187.0,
OY_CYBA_N1_200910Run01,B05,,,,2224.0
OY_CYBA_N1_200910Run01,B06,2139.0,,,
OY_CYBA_N1_200910Run01,B06,,2170.0,,
OY_CYBA_N1_200910Run01,B06,,,2189.0,
OY_CYBA_N1_200910Run01,B06,,,,2214.0
OY_CYBA_N1_200910Run01,B07,2143.0,,,
OY_CYBA_N1_200910Run01,B07,,2170.0,,
OY_CYBA_N1_200910Run01,B07,,,2185.0,
OY_CYBA_N1_200910Run01,B07,,,,2218.0
OY_CYBA_N1_200910Run01,B08,2144.0,,,
OY_CYBA_N1_200910Run01,B08,,2168.0,,
OY_CYBA_N1_200910Run01,B08,,,2189.0,
OY_CYBA_N1_200910Run01,B08,,,,2215.0
OY_CYBA_N1_200910Run01,B09,2144.0,,,
OY_CYBA_N1_200910Run01,B09,,2170.0,,
OY_CYBA_N1_200910Run01,B09,,,2191.0,
OY_CYBA_N1_200910Run01,B09,,,,2214.0
OY_CYBA_N1_200910Run01,B10,2146.0,,,
OY_CYBA_N1_200910Run01,B10,,2168.0,,
OY_CYBA_N1_200910Run01,B10,,,2185.0,
OY_CYBA_N1_200910Run01,B10,,,,2212.0
OY_CYBA_N1_200910Run01,B11,2141.0,,,
OY_CYBA_N1_200910Run01,B11,,2171.0,,
OY_CYBA_N1_200910Run01,B11,,,2192.0,
OY_CYBA_N1_200910Run01,B11,,,,2212.0
OY_CYBA_N1_200910Run01,B12,2144.0,,,
OY_CYBA_N1_200910Run01,B12,,2170.0,,
OY_CYBA_N1_200910Run01,B12,,,2194.0,
OY_CYBA_N1_200910Run01,B12,,,,2215.0
OY_CYBA_N1_200910Run01,C01,2146.0,,,
OY_CYBA_N1_200910Run01,C01,,2165.0,,
OY_CYBA_N1_200910Run01,C01,,,2189.0,
OY_CYBA_N1_200910Run01,C01,,,,2213.0
OY_CYBA_N1_200910Run01,C02,2145.0,,,
OY_CYBA_N1_200910Run01,C02,,2168.0,,
OY_CYBA_N1_200910Run01,C02,,,2188.0,
OY_CYBA_N1_200910Run01,C02,,,,2218.0
OY_CYBA_N1_200910Run01,C03,2146.0,,,
OY_CYBA_N1_200910Run01,C03,,2169.0,,
OY_CYBA_N1_200910Run01,C03,,,2189.0,
OY_CYBA_N1_200910Run01,C03,,,,2213.0
OY_CYBA_N1_200910Run01,C04,2140.0,,,
OY_CYBA_N1_200910Run01,C04,,2170.0,,
OY_CYBA_N1_200910Run01,C04,,,2191.0,
OY_CYBA_N1_200910Run01,C04,,,,2213.0
OY_CYBA_N1_200910Run01,C05,2144.0,,,
OY_CYBA_N1_200910Run01,C05,,2170.0,,
OY_CYBA_N1_200910Run01,C05,,,2188.0,
OY_CYBA_N1_200910Run01,C05,,,,2210.0
