folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_GSTM1_N10_020910Run01,A01,2486.0,,,
OY_GSTM1_N10_020910Run01,A01,,2606.0,,
OY_GSTM1_N10_020910Run01,A01,,,2720.0,
OY_GSTM1_N10_020910Run01,A01,,,,2841.0
OY_GSTM1_N10_020910Run01,A02,2517.0,,,
OY_GSTM1_N10_020910Run01,A02,,2636.0,,
OY_GSTM1_N10_020910Run01,A02,,,2755.0,
OY_GSTM1_N10_020910Run01,A02,,,,2872.0
OY_GSTM1_N10_020910Run01,A03,2390.0,,,
OY_GSTM1_N10_020910Run01,A03,,2508.0,,
OY_GSTM1_N10_020910Run01,A03,,,2627.0,
OY_GSTM1_N10_020910Run01,A03,,,,2744.0
OY_GSTM1_N10_020910Run01,A04,2468.0,,,
OY_GSTM1_N10_020910Run01,A04,,2585.0,,
OY_GSTM1_N10_020910Run01,A04,,,2703.0,
OY_GSTM1_N10_020910Run01,A04,,,,2820.0
OY_GSTM1_N10_020910Run01,A05,2524.0,,,
OY_GSTM1_N10_020910Run01,A05,,2644.0,,
OY_GSTM1_N10_020910Run01,A05,,,2764.0,
OY_GSTM1_N10_020910Run01,A05,,,,2883.0
OY_GSTM1_N10_020910Run01,A06,25.0,,,
OY_GSTM1_N10_020910Run01,A06,,145.0,,
OY_GSTM1_N10_020910Run01,A06,,,264.0,
OY_GSTM1_N10_020910Run01,A06,,,,383.0
OY_GSTM1_N10_020910Run01,A07,2408.0,,,
OY_GSTM1_N10_020910Run01,A07,,2525.0,,
OY_GSTM1_N10_020910Run01,A07,,,2643.0,
OY_GSTM1_N10_020910Run01,A07,,,,2758.0
OY_GSTM1_N10_020910Run01,A08,2477.0,,,
OY_GSTM1_N10_020910Run01,A08,,2596.0,,
OY_GSTM1_N10_020910Run01,A08,,,2712.0,
OY_GSTM1_N10_020910Run01,A08,,,,2830.0
OY_GSTM1_N10_020910Run01,A09,2532.0,,,
OY_GSTM1_N10_020910Run01,A09,,2645.0,,
OY_GSTM1_N10_020910Run01,A09,,,2764.0,
OY_GSTM1_N10_020910Run01,A09,,,,2884.0
OY_GSTM1_N10_020910Run01,A10,2443.0,,,
OY_GSTM1_N10_020910Run01,A10,,2562.0,,
OY_GSTM1_N10_020910Run01,A10,,,2682.0,
OY_GSTM1_N10_020910Run01,A10,,,,2800.0
OY_GSTM1_N10_020910Run01,A11,2504.0,,,
OY_GSTM1_N10_020910Run01,A11,,2626.0,,
OY_GSTM1_N10_020910Run01,A11,,,2745.0,
OY_GSTM1_N10_020910Run01,A11,,,,2864.0
OY_GSTM1_N10_020910Run01,A12,2523.0,,,
OY_GSTM1_N10_020910Run01,A12,,2642.0,,
OY_GSTM1_N10_020910Run01,A12,,,2757.0,
OY_GSTM1_N10_020910Run01,A12,,,,2874.0
OY_GSTM1_N10_020910Run01,B01,2558.0,,,
OY_GSTM1_N10_020910Run01,B01,,2680.0,,
OY_GSTM1_N10_020910Run01,B01,,,2799.0,
OY_GSTM1_N10_020910Run01,B01,,,,2919.0
OY_GSTM1_N10_020910Run01,B02,2.0,,,
OY_GSTM1_N10_020910Run01,B02,,122.0,,
OY_GSTM1_N10_020910Run01,B02,,,241.0,
OY_GSTM1_N10_020910Run01,B02,,,,360.0
OY_GSTM1_N10_020910Run01,B03,2459.0,,,
OY_GSTM1_N10_020910Run01,B03,,2577.0,,
OY_GSTM1_N10_020910Run01,B03,,,2695.0,
OY_GSTM1_N10_020910Run01,B03,,,,2815.0
OY_GSTM1_N10_020910Run01,B04,2433.0,,,
OY_GSTM1_N10_020910Run01,B04,,2556.0,,
OY_GSTM1_N10_020910Run01,B04,,,2675.0,
OY_GSTM1_N10_020910Run01,B04,,,,2793.0
OY_GSTM1_N10_020910Run01,B05,2433.0,,,
OY_GSTM1_N10_020910Run01,B05,,2549.0,,
OY_GSTM1_N10_020910Run01,B05,,,2668.0,
OY_GSTM1_N10_020910Run01,B05,,,,2787.0
OY_GSTM1_N10_020910Run01,B06,2464.0,,,
OY_GSTM1_N10_020910Run01,B06,,2585.0,,
OY_GSTM1_N10_020910Run01,B06,,,2704.0,
OY_GSTM1_N10_020910Run01,B06,,,,2825.0
OY_GSTM1_N10_020910Run01,B07,2399.0,,,
OY_GSTM1_N10_020910Run01,B07,,2515.0,,
OY_GSTM1_N10_020910Run01,B07,,,2631.0,
OY_GSTM1_N10_020910Run01,B07,,,,2750.0
OY_GSTM1_N10_020910Run01,B08,2434.0,,,
OY_GSTM1_N10_020910Run01,B08,,2553.0,,
OY_GSTM1_N10_020910Run01,B08,,,2674.0,
OY_GSTM1_N10_020910Run01,B08,,,,2790.0
OY_GSTM1_N10_020910Run01,B09,2450.0,,,
OY_GSTM1_N10_020910Run01,B09,,2568.0,,
OY_GSTM1_N10_020910Run01,B09,,,2682.0,
OY_GSTM1_N10_020910Run01,B09,,,,2799.0
OY_GSTM1_N10_020910Run01,B10,2459.0,,,
OY_GSTM1_N10_020910Run01,B10,,2576.0,,
OY_GSTM1_N10_020910Run01,B10,,,2694.0,
OY_GSTM1_N10_020910Run01,B10,,,,2813.0
OY_GSTM1_N10_020910Run01,B11,2451.0,,,
OY_GSTM1_N10_020910Run01,B11,,2570.0,,
OY_GSTM1_N10_020910Run01,B11,,,2689.0,
OY_GSTM1_N10_020910Run01,B11,,,,2806.0
OY_GSTM1_N10_020910Run01,B12,2658.0,,,
OY_GSTM1_N10_020910Run01,B12,,2776.0,,
OY_GSTM1_N10_020910Run01,B12,,,2892.0,
OY_GSTM1_N10_020910Run01,B12,,,,3014.0
OY_GSTM1_N10_020910Run01,C01,2548.0,,,
OY_GSTM1_N10_020910Run01,C01,,2668.0,,
OY_GSTM1_N10_020910Run01,C01,,,2786.0,
OY_GSTM1_N10_020910Run01,C01,,,,2907.0
OY_GSTM1_N10_020910Run01,C02,2496.0,,,
OY_GSTM1_N10_020910Run01,C02,,2615.0,,
OY_GSTM1_N10_020910Run01,C02,,,2737.0,
OY_GSTM1_N10_020910Run01,C02,,,,2855.0
OY_GSTM1_N10_020910Run01,C03,2437.0,,,
OY_GSTM1_N10_020910Run01,C03,,2555.0,,
OY_GSTM1_N10_020910Run01,C03,,,2672.0,
OY_GSTM1_N10_020910Run01,C03,,,,2790.0
OY_GSTM1_N10_020910Run01,C04,2392.0,,,
OY_GSTM1_N10_020910Run01,C04,,2510.0,,
OY_GSTM1_N10_020910Run01,C04,,,2628.0,
OY_GSTM1_N10_020910Run01,C04,,,,2746.0
OY_GSTM1_N10_020910Run01,C05,3815.0,,,
OY_GSTM1_N10_020910Run01,C05,,3935.0,,
OY_GSTM1_N10_020910Run01,C05,,,4053.0,
OY_GSTM1_N10_020910Run01,C05,,,,4174.0
OY_GSTM1_N10_020910Run01,C06,2474.0,,,
OY_GSTM1_N10_020910Run01,C06,,2593.0,,
OY_GSTM1_N10_020910Run01,C06,,,2711.0,
OY_GSTM1_N10_020910Run01,C06,,,,2833.0
OY_GSTM1_N10_020910Run01,C07,2375.0,,,
OY_GSTM1_N10_020910Run01,C07,,2494.0,,
OY_GSTM1_N10_020910Run01,C07,,,2609.0,
OY_GSTM1_N10_020910Run01,C07,,,,2728.0
OY_GSTM1_N10_020910Run01,C08,2451.0,,,
OY_GSTM1_N10_020910Run01,C08,,2569.0,,
OY_GSTM1_N10_020910Run01,C08,,,2688.0,
OY_GSTM1_N10_020910Run01,C08,,,,2806.0
OY_GSTM1_N10_020910Run01,C09,2402.0,,,
OY_GSTM1_N10_020910Run01,C09,,2517.0,,
OY_GSTM1_N10_020910Run01,C09,,,2636.0,
OY_GSTM1_N10_020910Run01,C09,,,,2756.0
OY_GSTM1_N10_020910Run01,C10,2444.0,,,
OY_GSTM1_N10_020910Run01,C10,,2570.0,,
OY_GSTM1_N10_020910Run01,C10,,,2690.0,
OY_GSTM1_N10_020910Run01,C10,,,,2809.0
OY_GSTM1_N10_020910Run01,C11,2411.0,,,
OY_GSTM1_N10_020910Run01,C11,,2530.0,,
OY_GSTM1_N10_020910Run01,C11,,,2643.0,
OY_GSTM1_N10_020910Run01,C11,,,,2762.0
OY_GSTM1_N10_020910Run01,C12,2485.0,,,
OY_GSTM1_N10_020910Run01,C12,,2607.0,,
OY_GSTM1_N10_020910Run01,C12,,,2724.0,
OY_GSTM1_N10_020910Run01,C12,,,,2843.0
OY_GSTM1_N10_020910Run01,D01,2446.0,,,
OY_GSTM1_N10_020910Run01,D01,,2562.0,,
OY_GSTM1_N10_020910Run01,D01,,,2685.0,
OY_GSTM1_N10_020910Run01,D01,,,,2806.0
OY_GSTM1_N10_020910Run01,D02,2411.0,,,
OY_GSTM1_N10_020910Run01,D02,,2529.0,,
OY_GSTM1_N10_020910Run01,D02,,,2650.0,
OY_GSTM1_N10_020910Run01,D02,,,,2767.0
OY_GSTM1_N10_020910Run01,D03,2441.0,,,
OY_GSTM1_N10_020910Run01,D03,,2558.0,,
OY_GSTM1_N10_020910Run01,D03,,,2677.0,
OY_GSTM1_N10_020910Run01,D03,,,,2794.0
OY_GSTM1_N10_020910Run01,D04,2576.0,,,
OY_GSTM1_N10_020910Run01,D04,,2695.0,,
OY_GSTM1_N10_020910Run01,D04,,,2813.0,
OY_GSTM1_N10_020910Run01,D04,,,,2931.0
OY_GSTM1_N10_020910Run01,D05,2442.0,,,
OY_GSTM1_N10_020910Run01,D05,,2560.0,,
OY_GSTM1_N10_020910Run01,D05,,,2681.0,
OY_GSTM1_N10_020910Run01,D05,,,,2799.0
OY_GSTM1_N10_020910Run01,D06,2448.0,,,
OY_GSTM1_N10_020910Run01,D06,,2565.0,,
OY_GSTM1_N10_020910Run01,D06,,,2686.0,
OY_GSTM1_N10_020910Run01,D06,,,,2807.0
OY_GSTM1_N10_020910Run01,D07,2378.0,,,
