folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_IL4_manglende_HL_030910Run01,A01,1884.0,,,
OY_IL4_manglende_HL_030910Run01,A01,,2214.0,,
OY_IL4_manglende_HL_030910Run01,A01,,,2672.0,
OY_IL4_manglende_HL_030910Run01,A01,,,,2995.0
OY_IL4_manglende_HL_030910Run01,A02,1875.0,,,
OY_IL4_manglende_HL_030910Run01,A02,,2218.0,,
OY_IL4_manglende_HL_030910Run01,A02,,,2665.0,
OY_IL4_manglende_HL_030910Run01,A02,,,,2985.0
OY_IL4_manglende_HL_030910Run01,A03,1895.0,,,
OY_IL4_manglende_HL_030910Run01,A03,,2214.0,,
OY_IL4_manglende_HL_030910Run01,A03,,,2663.0,
OY_IL4_manglende_HL_030910Run01,A03,,,,3001.0
OY_IL4_manglende_HL_030910Run01,A04,1877.0,,,
OY_IL4_manglende_HL_030910Run01,A04,,2215.0,,
OY_IL4_manglende_HL_030910Run01,A04,,,2673.0,
OY_IL4_manglende_HL_030910Run01,A04,,,,3000.0
OY_IL4_manglende_HL_030910Run01,A05,1882.0,,,
OY_IL4_manglende_HL_030910Run01,A05,,2213.0,,
OY_IL4_manglende_HL_030910Run01,A05,,,2669.0,
OY_IL4_manglende_HL_030910Run01,A05,,,,2994.0
OY_IL4_manglende_HL_030910Run01,A06,1881.0,,,
OY_IL4_manglende_HL_030910Run01,A06,,2211.0,,
OY_IL4_manglende_HL_030910Run01,A06,,,2667.0,
OY_IL4_manglende_HL_030910Run01,A06,,,,2990.0
OY_IL4_manglende_HL_030910Run01,A07,1882.0,,,
OY_IL4_manglende_HL_030910Run01,A07,,2212.0,,
OY_IL4_manglende_HL_030910Run01,A07,,,2671.0,
OY_IL4_manglende_HL_030910Run01,A07,,,,2987.0
OY_IL4_manglende_HL_030910Run01,A08,1885.0,,,
OY_IL4_manglende_HL_030910Run01,A08,,2209.0,,
OY_IL4_manglende_HL_030910Run01,A08,,,2671.0,
OY_IL4_manglende_HL_030910Run01,A08,,,,2992.0
OY_IL4_manglende_HL_030910Run01,A09,1878.0,,,
OY_IL4_manglende_HL_030910Run01,A09,,2223.0,,
OY_IL4_manglende_HL_030910Run01,A09,,,2668.0,
OY_IL4_manglende_HL_030910Run01,A09,,,,2994.0
OY_IL4_manglende_HL_030910Run01,A10,1882.0,,,
OY_IL4_manglende_HL_030910Run01,A10,,2212.0,,
OY_IL4_manglende_HL_030910Run01,A10,,,2673.0,
OY_IL4_manglende_HL_030910Run01,A10,,,,2994.0
OY_IL4_manglende_HL_030910Run01,A11,1885.0,,,
OY_IL4_manglende_HL_030910Run01,A11,,2212.0,,
OY_IL4_manglende_HL_030910Run01,A11,,,2670.0,
OY_IL4_manglende_HL_030910Run01,A11,,,,2982.0
OY_IL4_manglende_HL_030910Run01,A12,1882.0,,,
OY_IL4_manglende_HL_030910Run01,A12,,2214.0,,
OY_IL4_manglende_HL_030910Run01,A12,,,2668.0,
OY_IL4_manglende_HL_030910Run01,A12,,,,2993.0
OY_IL4_manglende_HL_030910Run01,B01,1883.0,,,
OY_IL4_manglende_HL_030910Run01,B01,,2216.0,,
OY_IL4_manglende_HL_030910Run01,B01,,,2671.0,
OY_IL4_manglende_HL_030910Run01,B01,,,,2993.0
OY_IL4_manglende_HL_030910Run01,B02,1885.0,,,
OY_IL4_manglende_HL_030910Run01,B02,,2212.0,,
OY_IL4_manglende_HL_030910Run01,B02,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B02,,,,2993.0
OY_IL4_manglende_HL_030910Run01,B03,1881.0,,,
OY_IL4_manglende_HL_030910Run01,B03,,2211.0,,
OY_IL4_manglende_HL_030910Run01,B03,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B03,,,,2995.0
OY_IL4_manglende_HL_030910Run01,B04,1877.0,,,
OY_IL4_manglende_HL_030910Run01,B04,,2215.0,,
OY_IL4_manglende_HL_030910Run01,B04,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B04,,,,3000.0
OY_IL4_manglende_HL_030910Run01,B05,1882.0,,,
OY_IL4_manglende_HL_030910Run01,B05,,2214.0,,
OY_IL4_manglende_HL_030910Run01,B05,,,2670.0,
OY_IL4_manglende_HL_030910Run01,B05,,,,3006.0
OY_IL4_manglende_HL_030910Run01,B06,1881.0,,,
OY_IL4_manglende_HL_030910Run01,B06,,2213.0,,
OY_IL4_manglende_HL_030910Run01,B06,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B06,,,,2995.0
OY_IL4_manglende_HL_030910Run01,B07,1890.0,,,
OY_IL4_manglende_HL_030910Run01,B07,,2222.0,,
OY_IL4_manglende_HL_030910Run01,B07,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B07,,,,3002.0
OY_IL4_manglende_HL_030910Run01,B08,1882.0,,,
OY_IL4_manglende_HL_030910Run01,B08,,2212.0,,
OY_IL4_manglende_HL_030910Run01,B08,,,2671.0,
OY_IL4_manglende_HL_030910Run01,B08,,,,2999.0
OY_IL4_manglende_HL_030910Run01,B09,1882.0,,,
OY_IL4_manglende_HL_030910Run01,B09,,2216.0,,
OY_IL4_manglende_HL_030910Run01,B09,,,2668.0,
OY_IL4_manglende_HL_030910Run01,B09,,,,2994.0
OY_IL4_manglende_HL_030910Run01,B10,1882.0,,,
OY_IL4_manglende_HL_030910Run01,B10,,2214.0,,
OY_IL4_manglende_HL_030910Run01,B10,,,2676.0,
OY_IL4_manglende_HL_030910Run01,B10,,,,2997.0
OY_IL4_manglende_HL_030910Run01,B11,1877.0,,,
OY_IL4_manglende_HL_030910Run01,B11,,2216.0,,
OY_IL4_manglende_HL_030910Run01,B11,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B11,,,,2982.0
OY_IL4_manglende_HL_030910Run01,B12,1883.0,,,
OY_IL4_manglende_HL_030910Run01,B12,,2216.0,,
OY_IL4_manglende_HL_030910Run01,B12,,,2669.0,
OY_IL4_manglende_HL_030910Run01,B12,,,,2994.0
OY_IL4_manglende_HL_030910Run01,C01,1889.0,,,
OY_IL4_manglende_HL_030910Run01,C01,,2216.0,,
OY_IL4_manglende_HL_030910Run01,C01,,,2672.0,
OY_IL4_manglende_HL_030910Run01,C01,,,,2988.0
OY_IL4_manglende_HL_030910Run01,C02,1890.0,,,
OY_IL4_manglende_HL_030910Run01,C02,,2221.0,,
OY_IL4_manglende_HL_030910Run01,C02,,,2672.0,
OY_IL4_manglende_HL_030910Run01,C02,,,,2992.0
OY_IL4_manglende_HL_030910Run01,C03,1878.0,,,
OY_IL4_manglende_HL_030910Run01,C03,,2212.0,,
OY_IL4_manglende_HL_030910Run01,C03,,,2671.0,
OY_IL4_manglende_HL_030910Run01,C03,,,,2989.0
OY_IL4_manglende_HL_030910Run01,C04,1881.0,,,
OY_IL4_manglende_HL_030910Run01,C04,,2215.0,,
OY_IL4_manglende_HL_030910Run01,C04,,,2674.0,
OY_IL4_manglende_HL_030910Run01,C04,,,,3004.0
OY_IL4_manglende_HL_030910Run01,C05,1886.0,,,
OY_IL4_manglende_HL_030910Run01,C05,,2217.0,,
OY_IL4_manglende_HL_030910Run01,C05,,,2673.0,
OY_IL4_manglende_HL_030910Run01,C05,,,,2992.0
OY_IL4_manglende_HL_030910Run01,C06,1884.0,,,
OY_IL4_manglende_HL_030910Run01,C06,,2213.0,,
OY_IL4_manglende_HL_030910Run01,C06,,,2670.0,
OY_IL4_manglende_HL_030910Run01,C06,,,,3011.0
OY_IL4_manglende_HL_030910Run01,C07,1883.0,,,
OY_IL4_manglende_HL_030910Run01,C07,,2213.0,,
OY_IL4_manglende_HL_030910Run01,C07,,,2672.0,
OY_IL4_manglende_HL_030910Run01,C07,,,,2982.0
OY_IL4_manglende_HL_030910Run01,C08,1880.0,,,
OY_IL4_manglende_HL_030910Run01,C08,,2219.0,,
OY_IL4_manglende_HL_030910Run01,C08,,,2669.0,
OY_IL4_manglende_HL_030910Run01,C08,,,,2990.0
OY_IL4_manglende_HL_030910Run01,C09,1883.0,,,
OY_IL4_manglende_HL_030910Run01,C09,,2211.0,,
OY_IL4_manglende_HL_030910Run01,C09,,,2675.0,
OY_IL4_manglende_HL_030910Run01,C09,,,,2993.0
OY_IL4_manglende_HL_030910Run01,C10,1877.0,,,
OY_IL4_manglende_HL_030910Run01,C10,,2211.0,,
OY_IL4_manglende_HL_030910Run01,C10,,,2668.0,
OY_IL4_manglende_HL_030910Run01,C10,,,,2991.0
OY_IL4_manglende_HL_030910Run01,C11,1883.0,,,
OY_IL4_manglende_HL_030910Run01,C11,,2208.0,,
OY_IL4_manglende_HL_030910Run01,C11,,,2668.0,
OY_IL4_manglende_HL_030910Run01,C11,,,,2991.0
OY_IL4_manglende_HL_030910Run01,C12,1883.0,,,
OY_IL4_manglende_HL_030910Run01,C12,,2212.0,,
OY_IL4_manglende_HL_030910Run01,C12,,,2669.0,
OY_IL4_manglende_HL_030910Run01,C12,,,,2991.0
OY_IL4_manglende_HL_030910Run01,D01,1885.0,,,
OY_IL4_manglende_HL_030910Run01,D01,,2217.0,,
OY_IL4_manglende_HL_030910Run01,D01,,,2671.0,
OY_IL4_manglende_HL_030910Run01,D01,,,,3003.0
OY_IL4_manglende_HL_030910Run01,D02,1882.0,,,
OY_IL4_manglende_HL_030910Run01,D02,,2212.0,,
OY_IL4_manglende_HL_030910Run01,D02,,,2669.0,
OY_IL4_manglende_HL_030910Run01,D02,,,,2995.0
OY_IL4_manglende_HL_030910Run01,D03,1885.0,,,
OY_IL4_manglende_HL_030910Run01,D03,,2207.0,,
OY_IL4_manglende_HL_030910Run01,D03,,,2675.0,
OY_IL4_manglende_HL_030910Run01,D03,,,,2993.0
OY_IL4_manglende_HL_030910Run01,D04,1885.0,,,
OY_IL4_manglende_HL_030910Run01,D04,,2213.0,,
OY_IL4_manglende_HL_030910Run01,D04,,,2669.0,
OY_IL4_manglende_HL_030910Run01,D04,,,,2993.0
OY_IL4_manglende_HL_030910Run01,D05,1879.0,,,
OY_IL4_manglende_HL_030910Run01,D05,,2216.0,,
OY_IL4_manglende_HL_030910Run01,D05,,,2667.0,
OY_IL4_manglende_HL_030910Run01,D05,,,,2995.0
OY_IL4_manglende_HL_030910Run01,D06,1882.0,,,
OY_IL4_manglende_HL_030910Run01,D06,,2215.0,,
OY_IL4_manglende_HL_030910Run01,D06,,,2670.0,
OY_IL4_manglende_HL_030910Run01,D06,,,,2994.0
OY_IL4_manglende_HL_030910Run01,D07,1888.0,,,
OY_IL4_manglende_HL_030910Run01,D07,,2213.0,,
OY_IL4_manglende_HL_030910Run01,D07,,,2670.0,
OY_IL4_manglende_HL_030910Run01,D07,,,,2992.0
OY_IL4_manglende_HL_030910Run01,D08,1881.0,,,
OY_IL4_manglende_HL_030910Run01,D08,,2217.0,,
OY_IL4_manglende_HL_030910Run01,D08,,,2670.0,
OY_IL4_manglende_HL_030910Run01,D08,,,,2994.0
OY_IL4_manglende_HL_030910Run01,D09,1876.0,,,
OY_IL4_manglende_HL_030910Run01,D09,,2209.0,,
OY_IL4_manglende_HL_030910Run01,D09,,,2672.0,
OY_IL4_manglende_HL_030910Run01,D09,,,,2991.0
OY_IL4_manglende_HL_030910Run01,D10,1885.0,,,
OY_IL4_manglende_HL_030910Run01,D10,,2212.0,,
OY_IL4_manglende_HL_030910Run01,D10,,,2661.0,
OY_IL4_manglende_HL_030910Run01,D10,,,,2991.0
OY_IL4_manglende_HL_030910Run01,D11,1883.0,,,
OY_IL4_manglende_HL_030910Run01,D11,,2213.0,,
OY_IL4_manglende_HL_030910Run01,D11,,,2668.0,
OY_IL4_manglende_HL_030910Run01,D11,,,,2995.0
OY_IL4_manglende_HL_030910Run01,D12,1880.0,,,
OY_IL4_manglende_HL_030910Run01,D12,,2212.0,,
OY_IL4_manglende_HL_030910Run01,D12,,,2670.0,
OY_IL4_manglende_HL_030910Run01,D12,,,,2989.0
OY_IL4_manglende_HL_030910Run01,E01,1882.0,,,
OY_IL4_manglende_HL_030910Run01,E01,,2215.0,,
OY_IL4_manglende_HL_030910Run01,E01,,,2671.0,
OY_IL4_manglende_HL_030910Run01,E01,,,,2992.0
OY_IL4_manglende_HL_030910Run01,E02,1885.0,,,
OY_IL4_manglende_HL_030910Run01,E02,,2213.0,,
OY_IL4_manglende_HL_030910Run01,E02,,,2669.0,
OY_IL4_manglende_HL_030910Run01,E02,,,,2993.0
OY_IL4_manglende_HL_030910Run01,E03,1877.0,,,
OY_IL4_manglende_HL_030910Run01,E03,,2214.0,,
OY_IL4_manglende_HL_030910Run01,E03,,,2675.0,
OY_IL4_manglende_HL_030910Run01,E03,,,,2989.0
OY_IL4_manglende_HL_030910Run01,E04,1880.0,,,
OY_IL4_manglende_HL_030910Run01,E04,,2216.0,,
OY_IL4_manglende_HL_030910Run01,E04,,,2672.0,
OY_IL4_manglende_HL_030910Run01,E04,,,,2993.0
OY_IL4_manglende_HL_030910Run01,E05,1882.0,,,
OY_IL4_manglende_HL_030910Run01,E05,,2215.0,,
OY_IL4_manglende_HL_030910Run01,E05,,,2672.0,
OY_IL4_manglende_HL_030910Run01,E05,,,,2993.0
OY_IL4_manglende_HL_030910Run01,E06,1877.0,,,
OY_IL4_manglende_HL_030910Run01,E06,,2213.0,,
OY_IL4_manglende_HL_030910Run01,E06,,,2671.0,
OY_IL4_manglende_HL_030910Run01,E06,,,,2992.0
OY_IL4_manglende_HL_030910Run01,E07,1891.0,,,
OY_IL4_manglende_HL_030910Run01,E07,,2218.0,,
OY_IL4_manglende_HL_030910Run01,E07,,,2674.0,
OY_IL4_manglende_HL_030910Run01,E07,,,,3000.0
OY_IL4_manglende_HL_030910Run01,E08,1882.0,,,
OY_IL4_manglende_HL_030910Run01,E08,,2214.0,,
OY_IL4_manglende_HL_030910Run01,E08,,,2679.0,
OY_IL4_manglende_HL_030910Run01,E08,,,,2992.0
OY_IL4_manglende_HL_030910Run01,E09,1891.0,,,
OY_IL4_manglende_HL_030910Run01,E09,,2215.0,,
OY_IL4_manglende_HL_030910Run01,E09,,,2673.0,
OY_IL4_manglende_HL_030910Run01,E09,,,,2996.0
OY_IL4_manglende_HL_030910Run01,E10,1882.0,,,
OY_IL4_manglende_HL_030910Run01,E10,,2212.0,,
OY_IL4_manglende_HL_030910Run01,E10,,,2670.0,
OY_IL4_manglende_HL_030910Run01,E10,,,,2993.0
OY_IL4_manglende_HL_030910Run01,E11,1881.0,,,
OY_IL4_manglende_HL_030910Run01,E11,,2215.0,,
OY_IL4_manglende_HL_030910Run01,E11,,,2669.0,
OY_IL4_manglende_HL_030910Run01,E11,,,,2995.0
OY_IL4_manglende_HL_030910Run01,E12,1886.0,,,
OY_IL4_manglende_HL_030910Run01,E12,,2216.0,,
OY_IL4_manglende_HL_030910Run01,E12,,,2668.0,
OY_IL4_manglende_HL_030910Run01,E12,,,,2995.0
OY_IL4_manglende_HL_030910Run01,F01,1884.0,,,
OY_IL4_manglende_HL_030910Run01,F01,,2215.0,,
OY_IL4_manglende_HL_030910Run01,F01,,,2670.0,
OY_IL4_manglende_HL_030910Run01,F01,,,,2995.0
OY_IL4_manglende_HL_030910Run01,F02,1893.0,,,
OY_IL4_manglende_HL_030910Run01,F02,,2215.0,,
OY_IL4_manglende_HL_030910Run01,F02,,,2674.0,
OY_IL4_manglende_HL_030910Run01,F02,,,,2992.0
OY_IL4_manglende_HL_030910Run01,F03,1883.0,,,
OY_IL4_manglende_HL_030910Run01,F03,,2216.0,,
OY_IL4_manglende_HL_030910Run01,F03,,,2673.0,
OY_IL4_manglende_HL_030910Run01,F03,,,,2996.0
OY_IL4_manglende_HL_030910Run01,F04,1886.0,,,
OY_IL4_manglende_HL_030910Run01,F04,,2214.0,,
OY_IL4_manglende_HL_030910Run01,F04,,,2671.0,
OY_IL4_manglende_HL_030910Run01,F04,,,,2995.0
OY_IL4_manglende_HL_030910Run01,F05,1881.0,,,
OY_IL4_manglende_HL_030910Run01,F05,,2214.0,,
OY_IL4_manglende_HL_030910Run01,F05,,,2673.0,
OY_IL4_manglende_HL_030910Run01,F05,,,,3003.0
OY_IL4_manglende_HL_030910Run01,F06,1881.0,,,
OY_IL4_manglende_HL_030910Run01,F06,,2215.0,,
