folder,well,is_peak_1_scan,is_peak_2_scan,is_peak_3_scan,is_peak_4_scan
OY_UGT1A1_N10_mROXstd_060510Run01,A01,1761,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A01,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,A01,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,A01,,,,2712
OY_UGT1A1_N10_mROXstd_060510Run01,A02,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A02,,1931,,
OY_UGT1A1_N10_mROXstd_060510Run01,A02,,,2102,
OY_UGT1A1_N10_mROXstd_060510Run01,A02,,,,2714
OY_UGT1A1_N10_mROXstd_060510Run01,A03,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A03,,1928,,
OY_UGT1A1_N10_mROXstd_060510Run01,A03,,,2106,
OY_UGT1A1_N10_mROXstd_060510Run01,A03,,,,2715
OY_UGT1A1_N10_mROXstd_060510Run01,A04,1758,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A04,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,A04,,,2099,
OY_UGT1A1_N10_mROXstd_060510Run01,A04,,,,2705
OY_UGT1A1_N10_mROXstd_060510Run01,A05,1767,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A05,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,A05,,,2112,
OY_UGT1A1_N10_mROXstd_060510Run01,A05,,,,2700
OY_UGT1A1_N10_mROXstd_060510Run01,A06,1761,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A06,,1931,,
OY_UGT1A1_N10_mROXstd_060510Run01,A06,,,2110,
OY_UGT1A1_N10_mROXstd_060510Run01,A06,,,,2692
OY_UGT1A1_N10_mROXstd_060510Run01,A07,1764,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A07,,1931,,
OY_UGT1A1_N10_mROXstd_060510Run01,A07,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,A07,,,,2706
OY_UGT1A1_N10_mROXstd_060510Run01,A08,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A08,,1928,,
OY_UGT1A1_N10_mROXstd_060510Run01,A08,,,2112,
OY_UGT1A1_N10_mROXstd_060510Run01,A08,,,,2710
OY_UGT1A1_N10_mROXstd_060510Run01,A09,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A09,,1928,,
OY_UGT1A1_N10_mROXstd_060510Run01,A09,,,2105,
OY_UGT1A1_N10_mROXstd_060510Run01,A09,,,,2707
OY_UGT1A1_N10_mROXstd_060510Run01,A10,1764,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A10,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,A10,,,2117,
OY_UGT1A1_N10_mROXstd_060510Run01,A10,,,,2710
OY_UGT1A1_N10_mROXstd_060510Run01,A11,1767,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A11,,1920,,
OY_UGT1A1_N10_mROXstd_060510Run01,A11,,,2110,
OY_UGT1A1_N10_mROXstd_060510Run01,A11,,,,2711
OY_UGT1A1_N10_mROXstd_060510Run01,A12,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,A12,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,A12,,,2115,
OY_UGT1A1_N10_mROXstd_060510Run01,A12,,,,2707
OY_UGT1A1_N10_mROXstd_060510Run01,B01,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B01,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,B01,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,B01,,,,2714
OY_UGT1A1_N10_mROXstd_060510Run01,B02,1771,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B02,,1930,,
OY_UGT1A1_N10_mROXstd_060510Run01,B02,,,2107,
OY_UGT1A1_N10_mROXstd_060510Run01,B02,,,,2711
OY_UGT1A1_N10_mROXstd_060510Run01,B03,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B03,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,B03,,,2104,
OY_UGT1A1_N10_mROXstd_060510Run01,B03,,,,2707
OY_UGT1A1_N10_mROXstd_060510Run01,B04,1758,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B04,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,B04,,,2112,
OY_UGT1A1_N10_mROXstd_060510Run01,B04,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,B05,1758,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B05,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,B05,,,2112,
OY_UGT1A1_N10_mROXstd_060510Run01,B05,,,,2715
OY_UGT1A1_N10_mROXstd_060510Run01,B06,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B06,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,B06,,,2113,
OY_UGT1A1_N10_mROXstd_060510Run01,B06,,,,2712
OY_UGT1A1_N10_mROXstd_060510Run01,B07,1764,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B07,,1934,,
OY_UGT1A1_N10_mROXstd_060510Run01,B07,,,2100,
OY_UGT1A1_N10_mROXstd_060510Run01,B07,,,,2710
OY_UGT1A1_N10_mROXstd_060510Run01,B08,1759,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B08,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,B08,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,B08,,,,2716
OY_UGT1A1_N10_mROXstd_060510Run01,B09,1761,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B09,,1934,,
OY_UGT1A1_N10_mROXstd_060510Run01,B09,,,2112,
OY_UGT1A1_N10_mROXstd_060510Run01,B09,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,B10,1759,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B10,,1930,,
OY_UGT1A1_N10_mROXstd_060510Run01,B10,,,2110,
OY_UGT1A1_N10_mROXstd_060510Run01,B10,,,,2716
OY_UGT1A1_N10_mROXstd_060510Run01,B11,1765,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B11,,1936,,
OY_UGT1A1_N10_mROXstd_060510Run01,B11,,,2106,
OY_UGT1A1_N10_mROXstd_060510Run01,B11,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,B12,1764,,,
OY_UGT1A1_N10_mROXstd_060510Run01,B12,,1934,,
OY_UGT1A1_N10_mROXstd_060510Run01,B12,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,B12,,,,2711
OY_UGT1A1_N10_mROXstd_060510Run01,C01,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C01,,1935,,
OY_UGT1A1_N10_mROXstd_060510Run01,C01,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,C01,,,,2710
OY_UGT1A1_N10_mROXstd_060510Run01,C02,1770,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C02,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,C02,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,C02,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,C03,1759,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C03,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,C03,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,C03,,,,2714
OY_UGT1A1_N10_mROXstd_060510Run01,C04,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C04,,1934,,
OY_UGT1A1_N10_mROXstd_060510Run01,C04,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,C04,,,,2710
OY_UGT1A1_N10_mROXstd_060510Run01,C05,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C05,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,C05,,,2112,
OY_UGT1A1_N10_mROXstd_060510Run01,C05,,,,2698
OY_UGT1A1_N10_mROXstd_060510Run01,C06,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C06,,1936,,
OY_UGT1A1_N10_mROXstd_060510Run01,C06,,,2106,
OY_UGT1A1_N10_mROXstd_060510Run01,C06,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,C07,1759,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C07,,1935,,
OY_UGT1A1_N10_mROXstd_060510Run01,C07,,,2110,
OY_UGT1A1_N10_mROXstd_060510Run01,C07,,,,2706
OY_UGT1A1_N10_mROXstd_060510Run01,C08,1766,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C08,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,C08,,,2109,
OY_UGT1A1_N10_mROXstd_060510Run01,C08,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,C09,1757,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C09,,1930,,
OY_UGT1A1_N10_mROXstd_060510Run01,C09,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,C09,,,,2712
OY_UGT1A1_N10_mROXstd_060510Run01,C10,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C10,,1934,,
OY_UGT1A1_N10_mROXstd_060510Run01,C10,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,C10,,,,2711
OY_UGT1A1_N10_mROXstd_060510Run01,C11,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C11,,1936,,
OY_UGT1A1_N10_mROXstd_060510Run01,C11,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,C11,,,,2709
OY_UGT1A1_N10_mROXstd_060510Run01,C12,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,C12,,1928,,
OY_UGT1A1_N10_mROXstd_060510Run01,C12,,,2116,
OY_UGT1A1_N10_mROXstd_060510Run01,C12,,,,2715
OY_UGT1A1_N10_mROXstd_060510Run01,D01,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D01,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,D01,,,2104,
OY_UGT1A1_N10_mROXstd_060510Run01,D01,,,,2706
OY_UGT1A1_N10_mROXstd_060510Run01,D02,1757,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D02,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,D02,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,D02,,,,2711
OY_UGT1A1_N10_mROXstd_060510Run01,D03,1763,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D03,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,D03,,,2102,
OY_UGT1A1_N10_mROXstd_060510Run01,D03,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,D04,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D04,,1931,,
OY_UGT1A1_N10_mROXstd_060510Run01,D04,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,D04,,,,2708
OY_UGT1A1_N10_mROXstd_060510Run01,D05,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D05,,1941,,
OY_UGT1A1_N10_mROXstd_060510Run01,D05,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,D05,,,,2703
OY_UGT1A1_N10_mROXstd_060510Run01,D06,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D06,,1931,,
OY_UGT1A1_N10_mROXstd_060510Run01,D06,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,D06,,,,2712
OY_UGT1A1_N10_mROXstd_060510Run01,D07,1765,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D07,,1935,,
OY_UGT1A1_N10_mROXstd_060510Run01,D07,,,2106,
OY_UGT1A1_N10_mROXstd_060510Run01,D07,,,,2714
OY_UGT1A1_N10_mROXstd_060510Run01,D08,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D08,,1936,,
OY_UGT1A1_N10_mROXstd_060510Run01,D08,,,2105,
OY_UGT1A1_N10_mROXstd_060510Run01,D08,,,,2715
OY_UGT1A1_N10_mROXstd_060510Run01,D09,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D09,,1934,,
OY_UGT1A1_N10_mROXstd_060510Run01,D09,,,2108,
OY_UGT1A1_N10_mROXstd_060510Run01,D09,,,,2718
OY_UGT1A1_N10_mROXstd_060510Run01,D10,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D10,,1937,,
OY_UGT1A1_N10_mROXstd_060510Run01,D10,,,2111,
OY_UGT1A1_N10_mROXstd_060510Run01,D10,,,,2704
OY_UGT1A1_N10_mROXstd_060510Run01,D11,1769,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D11,,1933,,
OY_UGT1A1_N10_mROXstd_060510Run01,D11,,,2107,
OY_UGT1A1_N10_mROXstd_060510Run01,D11,,,,2715
OY_UGT1A1_N10_mROXstd_060510Run01,D12,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,D12,,1932,,
OY_UGT1A1_N10_mROXstd_060510Run01,D12,,,2101,
OY_UGT1A1_N10_mROXstd_060510Run01,D12,,,,2698
OY_UGT1A1_N10_mROXstd_060510Run01,E01,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,E01,,1930,,
OY_UGT1A1_N10_mROXstd_060510Run01,E01,,,2107,
OY_UGT1A1_N10_mROXstd_060510Run01,E01,,,,2717
OY_UGT1A1_N10_mROXstd_060510Run01,E02,1760,,,
OY_UGT1A1_N10_mROXstd_060510Run01,E02,,1930,,
OY_UGT1A1_N10_mROXstd_060510Run01,E02,,,2115,
OY_UGT1A1_N10_mROXstd_060510Run01,E02,,,,2722
OY_UGT1A1_N10_mROXstd_060510Run01,E03,1762,,,
OY_UGT1A1_N10_mROXstd_060510Run01,E03,,1930,,
OY_UGT1A1_N10_mROXstd_060510Run01,E03,,,2107,
OY_UGT1A1_N10_mROXstd_060510Run01,E03,,,,2707
