well,n_esd,n_called,n_n,n_acgt,vs_esd_pct,vs_m13_pct,m13_matches,m13_aligned,avg_conf,took_s
A01,841,841,0,841,98.33531510107015,91.82242990654206,786,856,96.35457992553711,3.2
A02,870,870,0,870,97.47126436781609,88.86389201349832,790,889,95.52891254425049,3.1
A03,859,859,0,859,94.10404624277457,86.71963677639046,764,881,91.20954275131226,3.0
A04,857,857,0,857,97.31621936989498,88.50967007963595,778,879,95.28029561042786,3.0
A05,888,888,0,888,95.04504504504504,87.11111111111111,784,900,94.4425642490387,3.1
A06,841,841,0,841,95.72446555819478,90.81395348837209,781,860,95.29808163642883,2.9
A07,862,862,0,862,90.7940161104718,85.11363636363636,749,880,91.28802418708801,3.1
A08,891,891,0,891,94.62486002239642,87.0575221238938,787,904,92.28440523147583,3.2
A09,882,882,0,882,97.73242630385488,88.42696629213484,787,890,95.75794339179993,3.1
A10,862,862,0,862,97.79582366589327,87.72727272727273,772,880,95.81000804901123,3.1
A11,870,870,0,870,97.35632183908046,88.80090497737557,785,884,95.9108829498291,3.2
A12,870,870,0,870,95.51724137931035,85.24774774774775,757,888,94.07892227172852,3.2
B01,876,876,0,876,96.12756264236901,87.52808988764045,779,890,92.66065955162048,3.1
B02,863,863,0,863,96.17612977983778,88.43537414965986,780,882,95.31815648078918,3.0
B03,866,866,0,866,96.99769053117782,88.8382687927107,780,878,95.33331990242004,3.1
B04,865,865,0,865,97.22543352601156,88.77551020408163,783,882,95.44297456741333,3.1
B05,864,864,0,864,93.64896073903002,87.12984054669704,765,878,93.62645745277405,3.0
B06,896,896,0,896,89.26991150442478,82.43093922651934,746,905,91.38064384460449,3.2
B07,912,912,0,912,96.49122807017544,85.26543878656555,787,923,94.97034549713135,3.2
B08,876,876,0,876,93.07604994324632,86.49553571428571,775,896,93.49284172058105,3.1
B09,887,887,0,887,93.68658399098084,86.32286995515695,770,892,91.22962355613708,3.1
B10,882,882,0,882,97.05215419501134,89.01345291479821,794,892,94.66500282287598,3.1
B11,863,863,0,863,95.02314814814815,87.10407239819004,770,884,92.61848330497742,3.0
B12,879,879,0,879,94.23076923076923,87.48603351955308,783,895,94.1519558429718,3.1
C01,864,864,0,864,96.41618497109826,89.29384965831436,784,878,95.42632102966309,3.0
C02,856,856,0,856,84.33874709976799,79.42857142857143,695,875,87.39392757415771,3.0
C03,878,878,0,878,92.62202043132804,85.07795100222717,764,898,90.76446294784546,3.1
C04,900,900,0,900,91.90687361419069,84.20479302832244,773,918,91.72495007514954,3.2
C05,870,870,0,870,95.86206896551724,88.11659192825113,786,892,93.92053484916687,3.0
C06,870,870,0,870,91.87643020594966,86.29671574178936,762,883,92.84490942955017,3.1
C07,907,907,0,907,86.91384950926935,78.87323943661971,728,923,87.94060945510864,3.2
C08,857,857,0,857,96.85314685314685,89.43742824339839,779,871,94.85090970993042,3.0
C09,893,893,0,893,95.29675251959686,87.18232044198895,789,905,94.56204175949097,3.1
C10,868,868,0,868,83.86727688787185,78.3295711060948,694,886,88.46612572669983,3.1
C11,902,902,0,902,91.3907284768212,85.18111964873765,776,911,92.58424639701843,3.3
C12,858,858,0,858,89.47976878612717,83.63636363636364,736,880,88.86567950248718,3.1
D01,874,874,0,874,97.1395881006865,90.22727272727273,794,880,95.34321427345276,3.1
D02,862,862,0,862,97.09976798143852,88.47457627118644,783,885,95.64341306686401,3.0
D03,861,861,0,861,96.52375434530707,88.63636363636364,780,880,95.28910517692566,3.0
D04,880,880,0,880,93.18955732122588,85.77878103837472,760,886,91.08160734176636,3.1
D05,876,876,0,876,87.64172335600907,83.25892857142857,746,896,89.51516151428223,3.0
D06,850,850,0,850,98.82352941176471,90.10356731875719,783,869,96.18991017341614,3.0
D07,870,870,0,870,96.09644087256028,88.54875283446712,781,882,95.47460079193115,3.0
D08,908,908,0,908,95.81497797356828,84.55723542116631,783,926,94.57149505615234,3.2
D09,870,870,0,870,94.61009174311927,87.10407239819004,770,884,93.8891589641571,3.0
D10,898,898,0,898,96.88195991091314,87.08971553610503,796,914,95.17133831977844,3.1
D11,874,874,0,874,92.59681093394077,85.20179372197309,760,892,91.30759239196777,3.0
D12,874,874,0,874,92.68571428571428,86.37387387387388,767,888,93.39050650596619,3.0
E01,882,882,0,882,96.03174603174604,88.12989921612542,787,893,94.7901725769043,3.1
E02,870,870,0,870,94.16475972540046,85.31390134529148,761,892,91.70456528663635,3.0
E03,871,871,0,871,96.5556831228473,88.06306306306307,782,888,94.40370202064514,3.1
E04,876,876,0,876,94.98289623717218,86.43497757847534,771,892,93.38032007217407,3.0
E05,884,884,0,884,87.68197088465845,81.96902654867256,741,904,90.1818037033081,3.1
E06,869,869,0,869,94.48909299655568,87.5995449374289,770,879,94.70940828323364,3.1
E07,869,869,0,869,96.21125143513203,90.02267573696145,794,882,95.59818506240845,3.0
E08,877,877,0,877,92.93044469783352,85.15185601799774,757,889,91.44678115844727,3.1
E09,873,873,0,873,90.6712172923777,85.19774011299435,754,885,91.78405404090881,3.1
E10,882,882,0,882,96.93877551020408,87.01442841287458,784,901,94.17110681533813,3.1
E11,866,866,0,866,95.96309111880046,88.63636363636364,780,880,95.07222175598145,3.0
E12,884,884,0,884,97.17514124293785,88.07134894091416,790,897,95.70138454437256,3.1
F01,856,856,0,856,96.84579439252336,89.52164009111617,786,878,95.59369683265686,3.0
F02,848,848,0,848,87.80773739742087,81.17106773823191,707,871,87.31316328048706,3.0
F03,883,883,0,883,93.65798414496037,85.8902575587906,767,893,93.16844344139099,3.1
F04,869,869,0,869,96.32183908045977,88.48758465011286,784,886,94.01549100875854,3.0
F05,858,858,0,858,97.20605355064028,88.78718535469108,776,874,95.61958312988281,3.0
F06,877,877,0,877,96.23717217787913,86.98553948832036,782,899,94.32045221328735,3.0
F07,855,855,0,855,94.74912485414235,88.558352402746,774,874,92.5774335861206,3.0
F08,872,872,0,872,88.52272727272727,83.29596412556054,743,892,89.86793160438538,3.0
F09,877,877,0,877,96.80729760547321,87.37430167597765,782,895,93.78588199615479,3.1
F10,890,890,0,890,96.18406285072952,86.92737430167598,778,895,93.49578619003296,3.1
F11,877,877,0,877,97.37742303306727,87.43047830923248,786,899,95.09274363517761,3.1
F12,852,852,0,852,96.83098591549296,89.19540229885058,776,870,95.24983167648315,3.0
G01,848,848,0,848,96.4622641509434,88.67276887871853,775,874,94.85800862312317,3.0
G02,857,857,0,857,96.26604434072345,88.0817253121453,776,881,94.4855272769928,3.0
G03,931,931,0,931,91.04477611940298,81.50105708245243,771,946,90.12833833694458,3.2
G04,853,853,0,853,93.33333333333333,87.08571428571429,762,875,91.44779443740845,3.1
G05,820,820,0,820,97.3170731707317,90.40284360189574,763,844,95.96201777458191,2.9
G06,885,885,0,885,94.80812641083521,86.02860286028603,782,909,93.41544508934021,3.1
G07,908,908,0,908,96.58965896589659,84.3581445523193,782,927,94.33526396751404,3.2
G08,868,868,0,868,96.42857142857143,89.20454545454545,785,880,95.2790379524231,3.1
G09,876,876,0,876,91.82746878547105,85.8108108108108,762,888,92.44483709335327,3.1
G10,876,876,0,876,91.25993189557322,85.00563697857947,754,887,92.07763671875,3.0
G11,865,865,0,865,83.58038768529076,79.28331466965285,708,893,87.31217980384827,3.0
G12,866,866,0,866,96.30484988452656,87.97752808988764,783,890,94.18632984161377,3.0
H01,866,866,0,866,95.61707035755478,89.20454545454545,785,880,95.31987309455872,3.0
H02,880,880,0,880,94.44444444444444,88.42696629213484,787,890,94.74079608917236,3.1
H03,878,878,0,878,96.12756264236901,87.06800445930881,781,897,94.10212635993958,3.1
H04,898,898,0,898,97.66146993318486,86.87089715536105,794,914,95.65080404281616,3.2
H05,871,871,0,871,95.76174112256587,88.98978433598184,784,881,94.41971778869629,3.2
H06,887,887,0,887,96.50507328072153,87.6940133037694,791,902,95.82679271697998,3.1
H07,850,850,0,850,97.88235294117646,90.65743944636678,786,867,95.9659218788147,3.0
H08,873,873,0,873,92.93044469783352,86.23024830699774,764,886,92.1506404876709,3.0
H09,876,876,0,876,97.37442922374429,88.60045146726863,785,886,95.82777619361877,3.1
H10,870,870,0,870,98.04597701149426,88.97637795275591,791,889,95.90820074081421,3.0
H11,862,862,0,862,93.54838709677419,88.8633754305396,774,871,93.81471872329712,3.0
H12,882,882,0,882,96.60249150622876,88.37988826815642,791,895,95.36175727844238,3.1
