Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,0,0.0000,no peaks,,
A02,0,0.0000,no peaks,,
A03,3,0.4897,low MF (3 peaks),2366;2477;2602,4.73;5.11;6.65
A04,2,0.3974,het-like (2 peaks),2474;2603,7.48;6.43
A05,1,0.0000,homozygous (1 peak),2462,16.11
A06,2,0.4935,het-like (2 peaks),2427;2502,4.72;4.05
A07,3,0.4199,low MF (3 peaks),2482;2573;2646,4.54;6.47;9.32
A08,1,0.0000,homozygous (1 peak),2546,10.36
A09,1,0.0000,homozygous (1 peak),2300,17.00
A10,1,0.0000,homozygous (1 peak),2293,14.33
A11,1,0.0000,homozygous (1 peak),2668,28.93
A12,3,0.5919,low MF (3 peaks),2550;2667;2861,14.62;8.93;13.16
B01,0,0.0000,no peaks,,
B02,2,0.2977,het-like (2 peaks),2494;2521,5.14;2.18
B03,1,0.0000,homozygous (1 peak),2515,20.65
B04,1,0.0000,homozygous (1 peak),2466,14.80
B05,2,0.3250,het-like (2 peaks),2568;2582,14.93;7.19
B06,3,0.4953,low MF (3 peaks),2499;2519;2538,8.17;17.10;8.61
B07,2,0.4474,het-like (2 peaks),2538;2552,15.32;12.40
B08,4,0.3343,het (4 peaks),2492;2564;2585;2657,0.00;0.00;0.00;0.00
B09,1,0.0000,homozygous (1 peak),2344,12.53
B10,1,0.0000,homozygous (1 peak),2292,13.92
B11,1,0.0000,homozygous (1 peak),2672,24.85
B12,2,0.4667,het-like (2 peaks),2591;2740,11.48;8.62
C01,0,0.0000,no peaks,,
C02,0,0.0000,no peaks,,
C03,2,0.4911,het-like (2 peaks),2430;2538,6.10;4.31
C04,2,0.4491,het-like (2 peaks),2392;2491,3.86;3.44
C05,2,0.4434,het-like (2 peaks),2467;2539,4.47;5.59
C06,1,0.0000,homozygous (1 peak),2457,13.97
C07,3,0.3734,low MF (3 peaks),2484;2573;2640,4.61;5.80;11.04
C08,2,0.3833,het-like (2 peaks),2536;2556,8.34;13.42
C09,3,0.4417,low MF (3 peaks),2216;2310;2395,6.24;6.85;8.84
C10,3,0.3967,low MF (3 peaks),2220;2316;2398,4.64;4.38;7.78
C11,1,0.0000,homozygous (1 peak),2549,21.39
C12,3,0.6413,low MF (3 peaks),2679;2835;2874,4.39;4.28;4.20
D01,0,0.0000,no peaks,,
D02,0,0.0000,no peaks,,
D03,0,0.0000,no peaks,,
D04,2,0.4887,het-like (2 peaks),2367;2469,3.94;3.97
D05,2,0.2898,het-like (2 peaks),2518;2540,6.58;16.12
D06,3,0.4101,low MF (3 peaks),2409;2491;2592,4.10;2.91;7.54
D07,3,0.3761,low MF (3 peaks),2516;2601;2668,3.16;4.23;8.58
D08,1,0.0000,homozygous (1 peak),2590,15.45
D09,1,0.0000,homozygous (1 peak),2202,3.93
D10,1,0.0000,homozygous (1 peak),2317,13.42
D11,4,0.4989,het (4 peaks),2587;2690;2827;2864,6.01;6.49;6.15;6.27
D12,3,0.6360,low MF (3 peaks),2675;2827;2864,5.31;8.92;8.12
E01,0,0.0000,no peaks,,
E02,0,0.0000,no peaks,,
E03,1,0.0000,homozygous (1 peak),2517,19.40
E04,3,0.4423,low MF (3 peaks),2369;2465;2581,3.84;3.78;6.31
E05,3,0.5350,low MF (3 peaks),2487;2564;2665,5.33;5.32;8.03
E06,2,0.4942,het-like (2 peaks),2503;2585,6.12;6.11
E07,3,0.3733,low MF (3 peaks),2500;2580;2647,4.48;6.37;13.69
E08,1,0.0000,homozygous (1 peak),2483,11.50
E09,1,0.0000,homozygous (1 peak),2239,13.65
E10,2,0.2745,het-like (2 peaks),2309;2391,3.79;5.79
E11,4,0.4856,het (4 peaks),2630;2729;2861;2901,6.94;5.06;6.23;6.61
E12,2,0.4799,het-like (2 peaks),2642;2792,12.42;8.04
F01,0,0.0000,no peaks,,
F02,0,0.0000,no peaks,,
F03,0,0.0000,no peaks,,
F04,3,0.5374,low MF (3 peaks),2394;2488;2710,6.81;4.62;7.97
F05,1,0.0000,homozygous (1 peak),2534,12.73
F06,0,0.0000,no peaks,,
F07,3,0.3753,low MF (3 peaks),2494;2574;2643,3.35;3.98;9.02
F08,3,0.4038,low MF (3 peaks),2509;2583;2648,4.29;4.33;8.24
F09,1,0.0000,homozygous (1 peak),2298,10.85
F10,1,0.0000,homozygous (1 peak),2341,14.01
F11,4,0.4850,het (4 peaks),2568;2662;2789;2829,8.93;4.29;6.56;7.14
F12,3,0.4899,low MF (3 peaks),2563;2674;2823,18.44;6.09;9.57
G01,2,0.3537,het-like (2 peaks),2619;2633,27.29;8.94
G02,0,0.0000,no peaks,,
G03,2,0.4083,het-like (2 peaks),2417;2500,5.61;6.50
G04,1,0.0000,homozygous (1 peak),2418,15.75
G05,3,0.4454,low MF (3 peaks),2462;2530;2628,3.47;3.65;7.70
G06,1,0.0000,homozygous (1 peak),2459,17.04
G07,1,0.0000,homozygous (1 peak),2683,9.62
G08,2,0.3018,het-like (2 peaks),2556;2623,5.58;8.32
G09,3,0.3951,low MF (3 peaks),2252;2325;2396,3.78;2.83;6.78
G10,3,0.3985,low MF (3 peaks),2263;2340;2414,4.66;3.05;8.32
G11,1,0.0000,homozygous (1 peak),2668,20.76
G12,2,0.3870,het-like (2 peaks),2673;2691,13.80;8.72
H01,0,0.0000,no peaks,,
H02,0,0.0000,no peaks,,
H03,2,0.4721,het-like (2 peaks),2409;2511,5.75;5.73
H04,1,0.0000,homozygous (1 peak),2365,13.70
H05,3,0.5189,low MF (3 peaks),2480;2499;2511,4.40;9.90;6.28
H06,1,0.0000,homozygous (1 peak),2469,16.64
H07,0,0.0000,no peaks,,
H08,2,0.4230,het-like (2 peaks),2491;2506,12.59;9.23
H09,1,0.0000,homozygous (1 peak),2254,12.92
H10,2,0.3488,het-like (2 peaks),2370;2438,4.35;6.73
H11,1,0.0000,homozygous (1 peak),2691,22.31
H12,1,0.0000,homozygous (1 peak),2665,21.20
