# Plate,T2,Quality,POOR,FWHM_MAX,25
# IS_median_FWHM,21.0,Samp_median_FWHM,8.0,IS_per_well,3.3
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2519,32.99
A02,1,0.0000,homozygous (1 peak),2685,19.57
A03,3,0.4897,low MF (3 peaks),2366;2477;2602,4.73;5.11;6.65
A04,4,0.4748,het (4 peaks),2360;2471;2489;2603,10.03;3.86;3.68;6.43
A05,1,0.0000,homozygous (1 peak),2462,16.11
A06,3,0.6007,low MF (3 peaks),2427;2502;2600,4.72;4.05;4.18
A07,3,0.4199,low MF (3 peaks),2482;2573;2646,4.54;6.47;9.32
A08,1,0.0000,homozygous (1 peak),2546,10.36
A09,1,0.0000,homozygous (1 peak),2300,17.00
A10,1,0.0000,homozygous (1 peak),2293,14.33
A11,1,0.0000,homozygous (1 peak),2668,28.93
A12,4,0.4643,het (4 peaks),2550;2667;2819;2861,14.62;8.93;9.83;13.15
B01,3,0.5488,low MF (3 peaks),2542;2799;2825,11.41;6.60;6.66
B02,4,0.4999,het (4 peaks),2495;2606;2682;2758,5.51;6.92;4.78;8.48
B03,1,0.0000,homozygous (1 peak),2515,20.65
B04,1,0.0000,homozygous (1 peak),2466,14.80
B05,1,0.0000,homozygous (1 peak),2569,17.26
B06,2,0.2876,het-like (2 peaks),2498;2520,7.74;19.17
B07,2,0.4474,het-like (2 peaks),2538;2552,15.32;12.40
B08,4,0.3343,het (4 peaks),2492;2564;2585;2657,0.00;0.00;0.00;0.00
B09,1,0.0000,homozygous (1 peak),2344,12.53
B10,1,0.0000,homozygous (1 peak),2292,13.92
B11,1,0.0000,homozygous (1 peak),2672,24.85
B12,4,0.4467,het (4 peaks),2484;2591;2740;2773,13.74;11.48;7.91;8.33
C01,2,0.2846,het-like (2 peaks),2692;2718,18.50;7.36
C02,1,0.0000,homozygous (1 peak),2621,25.76
C03,3,0.5110,low MF (3 peaks),2430;2538;2666,6.10;4.31;7.34
C04,3,0.4025,low MF (3 peaks),2392;2491;2604,3.86;3.44;7.48
C05,3,0.4252,low MF (3 peaks),2467;2539;2635,4.47;5.59;10.41
C06,1,0.0000,homozygous (1 peak),2457,13.97
C07,3,0.3734,low MF (3 peaks),2484;2573;2640,4.61;5.80;11.04
C08,2,0.3833,het-like (2 peaks),2536;2556,8.34;13.42
C09,3,0.4417,low MF (3 peaks),2216;2310;2395,6.24;6.85;8.84
C10,3,0.3967,low MF (3 peaks),2220;2316;2398,4.64;4.38;7.78
C11,1,0.0000,homozygous (1 peak),2549,21.39
C12,4,0.4459,het (4 peaks),2554;2679;2835;2874,7.57;4.39;4.28;4.20
D01,3,0.5719,low MF (3 peaks),2522;2638;2774,8.29;7.15;7.69
D02,1,0.0000,homozygous (1 peak),2621,20.35
D03,1,0.0000,homozygous (1 peak),2509,22.22
D04,3,0.5745,low MF (3 peaks),2367;2469;2594,3.94;3.97;3.76
D05,2,0.2898,het-like (2 peaks),2518;2540,6.58;16.12
D06,3,0.4101,low MF (3 peaks),2409;2491;2592,4.10;2.91;7.54
D07,3,0.3761,low MF (3 peaks),2516;2601;2668,3.16;4.23;8.58
D08,1,0.0000,homozygous (1 peak),2590,15.45
D09,1,0.0000,homozygous (1 peak),2202,3.93
D10,1,0.0000,homozygous (1 peak),2317,13.42
D11,4,0.4989,het (4 peaks),2587;2690;2827;2864,6.01;6.49;6.15;6.27
D12,4,0.4362,het (4 peaks),2554;2675;2827;2864,13.76;5.31;8.92;8.12
E01,1,0.0000,homozygous (1 peak),2680,20.29
E02,3,0.6169,low MF (3 peaks),2572;2673;2798,9.23;6.95;5.32
E03,1,0.0000,homozygous (1 peak),2517,19.40
