# Plate,T4,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,6.0,Samp_median_FWHM,8.0,IS_per_well,5.5
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,4,0.4230,het (4 peaks),2238;2339;2498;2552,2.35;1.64;1.41;1.06
A02,3,0.5221,low MF (3 peaks),2333;2466;2508,2.19;1.20;1.14
A03,1,0.0000,homozygous (1 peak),2290,8.30
A04,4,0.3040,het (4 peaks),2226;2317;2456;2498,2.40;2.45;1.07;0.71
A05,4,0.4193,het (4 peaks),2275;2366;2524;2571,2.37;3.22;2.10;1.92
A06,0,0.0000,no peaks,,
A07,1,0.0000,homozygous (1 peak),2383,8.54
A08,1,0.0000,homozygous (1 peak),2363,7.79
A09,1,0.0000,homozygous (1 peak),2337,7.15
A10,2,0.4498,het-like (2 peaks),2363;2382,8.52;6.97
A11,1,0.0000,homozygous (1 peak),2426,7.44
A12,4,0.3744,het (4 peaks),2254;2359;2528;2575,3.17;3.58;2.04;1.86
B01,1,0.0000,homozygous (1 peak),2335,6.87
B02,15,0.4970,het (15 peaks),2068;2123;2178;2229;2278;2328;2378;2428;2482;2562;2662;2748;2800;2857;2908,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
B03,4,0.4214,het (4 peaks),2221;2316;2453;2493,3.00;3.74;2.30;2.10
B04,1,0.0000,homozygous (1 peak),2297,31.18
B05,1,0.0000,homozygous (1 peak),2296,8.35
B06,3,0.6550,low MF (3 peaks),2353;2366;2405,3.75;3.95;3.74
B07,4,0.3470,het (4 peaks),2288;2384;2532;2572,2.33;2.79;1.12;1.31
B08,4,0.4532,het (4 peaks),2262;2364;2510;2547,3.78;2.76;2.26;2.62
B09,1,0.0000,homozygous (1 peak),2368,8.49
B10,4,0.3937,het (4 peaks),2282;2378;2516;2553,2.40;3.11;1.29;1.77
B11,4,0.4136,het (4 peaks),2309;2399;2531;2567,4.50;2.28;1.68;2.16
B12,3,0.5870,low MF (3 peaks),2559;2683;2898,3.58;2.86;1.52
C01,1,0.0000,homozygous (1 peak),2325,6.60
C02,1,0.0000,homozygous (1 peak),2369,7.11
C03,1,0.0000,homozygous (1 peak),2235,9.60
C04,1,0.0000,homozygous (1 peak),2355,7.43
C05,4,0.3187,het (4 peaks),2273;2365;2518;2563,2.56;2.73;1.30;1.19
C06,1,0.0000,homozygous (1 peak),2368,7.71
