well,bases_dll,matched_dll,fullid_dll,bases_ours,matched_ours,fullid_ours
A01,839,790,94.16,717,632,88.15
A02,864,750,86.81,731,647,88.51
A03,854,729,85.36,729,616,84.50
A04,850,729,85.76,729,644,88.34
A05,883,749,84.82,735,617,83.95
A06,836,760,90.91,737,662,89.82
A07,858,742,86.48,732,634,86.61
A08,884,754,85.29,737,654,88.74
A09,878,788,89.75,748,659,88.10
A10,858,749,87.30,738,658,89.16
A11,864,739,85.53,723,633,87.55
A12,864,740,85.65,747,660,88.35
B01,874,778,89.02,718,641,89.28
B02,854,771,90.28,720,611,84.86
B03,860,768,89.30,725,646,89.10
B04,857,761,88.80,733,647,88.27
B05,861,743,86.30,731,640,87.55
B06,883,781,88.45,746,662,88.74
B07,903,769,85.16,731,661,90.42
B08,868,738,85.02,726,632,87.05
B09,884,731,82.69,741,635,85.70
B10,876,748,85.39,728,635,87.23
B11,861,791,91.87,733,650,88.68
B12,873,765,87.63,732,643,87.84
C01,859,726,84.52,723,657,90.87
C02,848,742,87.50,731,673,92.07
C03,867,763,88.00,731,654,89.47
C04,887,762,85.91,697,597,85.65
C05,863,732,84.82,731,637,87.14
C06,865,745,86.13,728,647,88.87
C07,900,783,87.00,731,639,87.41
C08,854,732,85.71,718,657,91.50
C09,883,736,83.35,740,659,89.05
C10,864,745,86.23,740,676,91.35
C11,899,769,85.54,730,616,84.38
C12,854,729,85.36,737,635,86.16
D01,865,764,88.32,719,642,89.29
D02,854,738,86.42,735,647,88.03
D03,858,751,87.53,725,630,86.90
D04,877,740,84.38,721,630,87.38
D05,871,758,87.03,729,633,86.83
D06,846,730,86.29,736,663,90.08
D07,864,729,84.38,737,645,87.52
D08,895,751,83.91,733,640,87.31
D09,867,728,83.97,745,653,87.65
D10,890,773,86.85,731,636,87.00
D11,872,789,90.48,742,659,88.81
D12,869,737,84.81,727,628,86.38
E01,875,733,83.77,720,636,88.33
E02,865,758,87.63,721,645,89.46
E03,865,774,89.48,726,634,87.33
E04,869,734,84.46,725,607,83.72
E05,875,782,89.37,733,642,87.59
E06,867,727,83.85,725,632,87.17
E07,863,746,86.44,736,639,86.82
E08,870,733,84.25,728,611,83.93
E09,869,742,85.39,737,622,84.40
E10,880,752,85.45,733,642,87.59
E11,862,735,85.27,738,657,89.02
E12,883,774,87.66,730,633,86.71
F01,850,755,88.82,731,654,89.47
F02,844,749,88.74,720,648,90.00
F03,878,737,83.94,714,631,88.38
F04,863,739,85.63,737,650,88.20
F05,855,710,83.04,726,612,84.30
F06,871,760,87.26,736,651,88.45
F07,851,764,89.78,733,621,84.72
F08,862,737,85.50,717,593,82.71
F09,873,778,89.12,735,650,88.44
F10,887,775,87.37,748,665,88.90
F11,873,772,88.43,733,640,87.31
F12,848,741,87.38,734,648,88.28
G01,842,731,86.82,723,635,87.83
G02,854,753,88.17,729,647,88.75
G03,925,802,86.70,729,626,85.87
G04,847,751,88.67,724,644,88.95
G05,816,747,91.54,726,650,89.53
G06,875,740,84.57,731,643,87.96
G07,901,769,85.35,729,639,87.65
G08,865,776,89.71,732,650,88.80
G09,871,764,87.72,740,621,83.92
G10,870,741,85.17,737,623,84.53
G11,860,750,87.21,730,643,88.08
G12,863,777,90.03,735,633,86.12
H01,856,756,88.32,718,644,89.69
H02,874,748,85.58,739,646,87.42
H03,872,754,86.47,733,649,88.54
H04,893,771,86.34,740,652,88.11
H05,862,739,85.73,726,628,86.50
H06,879,783,89.08,732,656,89.62
H07,847,776,91.62,729,648,88.89
H08,868,747,86.06,721,638,88.49
H09,872,741,84.98,748,649,86.76
H10,867,764,88.12,732,642,87.70
H11,855,750,87.72,741,658,88.80
H12,877,763,87.00,731,634,86.73
