well,bases_dll,cov_dll,id_dll,bases_ours,cov_ours,id_ours
A01,839,95.35,95.39,717,87.73,96.91
A02,864,87.96,96.65,731,87.96,95.40
A03,854,86.77,96.56,729,85.32,96.25
A04,850,86.59,97.85,729,88.48,95.67
A05,883,85.62,97.27,735,83.81,97.31
A06,836,91.15,96.69,737,89.69,95.11
A07,858,87.88,96.61,732,85.79,95.88
A08,884,85.86,98.05,737,88.74,96.17
A09,878,90.77,96.09,748,87.83,95.62
A10,858,88.00,96.89,738,88.89,94.78
A11,864,86.92,97.11,723,87.83,95.61
A12,864,86.00,97.11,747,88.62,94.95
B01,874,90.85,96.41,718,89.83,94.81
B02,854,91.22,96.02,720,84.86,96.82
B03,860,90.58,95.76,725,89.24,95.12
B04,857,90.32,96.09,733,87.99,95.11
B05,861,87.11,97.51,731,87.00,94.91
B06,883,89.47,96.06,746,88.47,95.78
B07,903,88.37,94.33,731,90.42,94.26
B08,868,85.25,97.49,726,87.19,95.45
B09,884,83.26,97.86,741,85.43,96.19
B10,876,85.84,98.16,728,87.50,96.50
B11,861,92.92,94.96,733,88.40,95.42
B12,873,88.20,96.47,732,87.70,95.52
C01,859,85.68,97.84,723,90.46,95.20
C02,848,88.68,97.76,731,91.52,95.16
C03,867,89.04,96.08,731,89.06,95.31
C04,887,88.61,93.92,697,85.22,94.72
C05,863,85.17,98.12,731,87.14,95.93
C06,865,87.40,97.26,728,88.32,95.26
C07,900,87.67,96.66,731,87.41,95.21
C08,854,86.53,97.47,718,91.09,94.23
C09,883,84.03,98.00,740,88.78,95.21
C10,864,86.57,97.90,740,91.35,94.25
C11,899,87.21,96.49,730,84.38,96.84
C12,854,86.18,97.85,737,86.02,94.89
D01,865,89.94,96.59,719,89.57,95.66
D02,854,87.00,97.88,735,88.16,95.99
D03,858,88.34,96.16,725,86.48,96.15
D04,877,85.52,97.62,721,86.96,95.86
D05,871,87.37,96.81,729,86.69,96.19
D06,846,86.52,98.38,736,89.67,94.83
D07,864,85.19,97.59,737,87.38,95.96
D08,895,86.82,94.94,733,87.45,95.37
D09,867,84.78,97.85,745,87.65,96.17
D10,890,88.09,96.50,731,86.87,95.63
D11,872,91.86,94.81,742,88.27,95.89
D12,869,85.73,97.23,727,86.24,96.01
E01,875,84.34,97.99,720,88.19,95.33
E02,865,88.67,96.19,721,89.46,95.25
E03,865,90.40,95.90,726,87.05,96.04
E04,869,86.31,96.71,725,83.17,95.71
E05,875,89.60,96.05,733,87.04,94.92
E06,867,85.01,97.98,725,86.62,95.73
E07,863,86.91,97.90,736,86.82,96.81
E08,870,84.83,97.86,728,83.52,96.66
E09,869,85.85,97.76,737,84.94,96.12
E10,880,86.25,96.53,733,88.13,95.82
E11,862,85.73,98.13,738,89.43,95.20
E12,883,89.69,95.20,730,86.44,95.60
F01,850,89.29,97.04,731,88.92,95.16
F02,844,89.10,96.52,720,89.58,94.85
F03,878,84.85,96.58,714,88.24,94.43
F04,863,86.56,97.75,737,88.20,94.86
F05,855,83.74,97.80,726,84.02,95.14
F06,871,87.72,96.57,736,87.91,95.57
F07,851,90.36,96.34,733,84.58,97.02
F08,862,86.54,97.36,717,82.85,97.04
F09,873,89.81,96.53,735,88.57,95.58
F10,887,87.94,96.87,748,89.17,96.51
F11,873,89.12,96.26,733,87.72,95.95
F12,848,87.97,98.02,734,87.74,95.55
G01,842,87.65,97.34,723,87.97,94.75
G02,854,88.88,96.91,729,88.34,95.13
G03,925,90.27,93.90,729,85.32,94.96
G04,847,89.14,96.27,724,88.54,95.52
G05,816,92.03,96.51,726,89.26,94.58
G06,875,85.14,97.37,731,87.69,94.95
G07,901,87.24,95.53,729,87.65,94.22
G08,865,90.75,96.63,732,88.80,95.15
G09,871,88.40,96.46,740,83.78,97.33
G10,870,85.86,97.50,737,85.07,96.28
G11,860,88.14,97.03,730,88.36,95.96
G12,863,90.96,96.27,735,85.99,96.19
H01,856,88.90,96.05,718,89.69,93.95
H02,874,86.73,97.39,739,87.01,96.40
H03,872,87.16,95.93,733,88.81,94.46
H04,893,89.25,94.94,740,87.97,95.88
H05,862,86.31,97.75,726,85.95,96.44
H06,879,89.87,96.91,732,89.62,94.64
H07,847,91.74,96.39,729,88.89,95.27
H08,868,86.87,97.52,721,88.35,95.63
H09,872,86.12,97.62,748,86.36,96.27
H10,867,89.27,96.58,732,87.84,95.52
H11,855,88.07,97.65,741,88.12,94.77
H12,877,87.91,96.70,731,86.73,95.45
