well,MD_n,MD_sm,MD_eq,Cp153_n,Cp153_sm,Cp153_eq,Cp312_n,Cp312_sm,Cp312_eq,TB_n,TB_sm,TB_eq
A01,740,0.6867924528301886,728,836,0.6922382671480144,767,839,0.7129337539432177,791,903,0.7271134472185721,830
A02,517,0.5429625724828677,515,869,0.7105380168963984,799,864,0.7450980392156863,836,895,0.6751648351648352,768
A03,830,0.6606334841628959,730,861,0.7103971441320839,796,854,0.6974037600716204,779,895,0.7252747252747253,825
A04,743,0.6773433820065945,719,852,0.6890681003584229,769,850,0.7228699551569506,806,881,0.7509951348960637,849
A05,790,0.6857142857142857,744,856,0.7209302325581395,806,883,0.7291206363234645,825,896,0.7495606326889279,853
A06,800,0.6587155963302752,718,830,0.7257918552036199,802,836,0.7382671480144405,818,890,0.7506607929515419,852
A07,775,0.7109048723897912,766,859,0.7315765966949531,819,858,0.7229669347631814,809,890,0.7365638766519824,836
A08,701,0.6592984142239308,686,863,0.7347302719572002,824,884,0.7482332155477032,847,923,0.7034303082935301,810
A09,826,0.7116953762466002,785,843,0.7422402159244265,825,878,0.7511071744906997,848,934,0.7372515125324114,853
A10,761,0.7043437645959831,754,842,0.693969396939694,771,858,0.7381590705987489,826,918,0.7563098346388164,869
A11,837,0.7153811456923771,793,843,0.7215474583895637,802,864,0.7459893048128342,837,895,0.7410989010989011,843
A12,817,0.7137005006827492,784,855,0.7239373601789709,809,864,0.6880570409982175,772,916,0.7517421602787456,863
B01,775,0.7006960556844548,755,862,0.7127564674397859,799,874,0.748890860692103,844,919,0.7237929534580252,832
B02,443,0.47613823368074604,434,815,0.6943052391799545,762,854,0.7314234556848702,817,770,0.7013953488372093,754
B03,384,0.42517006802721086,375,852,0.7159498207885304,799,860,0.7303571428571428,818,931,0.6958026828212894,804
B04,731,0.6821411653244908,720,875,0.7388026607538802,833,857,0.713455520786768,798,885,0.6763796909492273,766
B05,764,0.691231343283582,741,867,0.6960391633288829,782,861,0.7282463186077643,816,899,0.7617376042123738,868
B06,844,0.6744604316546763,750,878,0.7546501328609388,852,883,0.7388422448077773,836,942,0.7527993109388458,874
B07,579,0.5829504849412965,571,876,0.6914893617021277,780,903,0.7271134472185721,830,926,0.7328707718993929,845
B08,817,0.7100591715976331,780,853,0.6941334527541424,775,868,0.7330960854092526,824,935,0.767170626349892,888
B09,805,0.7130434782608696,779,851,0.7162707306140744,799,884,0.7173144876325088,812,873,0.6764314247669774,762
B10,793,0.6902899217671422,750,871,0.6903598400710795,777,876,0.6861702127659575,774,908,0.7019230769230769,803
B11,801,0.7281063732232921,794,846,0.7349505840071878,818,861,0.7228915662650602,810,916,0.7491289198606271,860
B12,822,0.7311534968210718,805,849,0.7007626738447734,781,873,0.7119396360408344,802,935,0.7006479481641469,811
C01,793,0.7123791992636908,774,843,0.7278452541610436,809,859,0.7324698526127735,820,778,0.70064874884152,756
C02,754,0.6729147141518276,718,838,0.7249774571686204,804,848,0.7262118491921006,809,888,0.7389770723104057,838
C03,844,0.6996402877697842,778,847,0.6951055231252806,774,867,0.7013796172674678,788,788,0.7140221402214022,774
C04,387,0.41765704584040747,369,838,0.7376014427412083,818,887,0.6828407587119542,774,961,0.6903032891926527,808
C05,806,0.6980786825251601,763,864,0.7040998217468806,790,863,0.7142220240748997,801,928,0.744367417677643,859
C06,792,0.714548802946593,776,877,0.7018165706690297,792,865,0.7198218262806236,808,931,0.7390739939420164,854
C07,776,0.6948051948051948,749,866,0.755120213713268,848,900,0.7324561403508771,835,940,0.7163793103448276,831
C08,733,0.6748698532891624,713,854,0.6920322291853178,773,854,0.7170993733213966,801,901,0.6865409907935116,783
C09,640,0.6267326732673267,633,860,0.6928571428571428,776,883,0.7247017233760495,820,912,0.712914485165794,817
C10,784,0.6950092421441775,752,866,0.7043633125556545,791,864,0.7112299465240641,798,888,0.7239858906525574,821
C11,783,0.6981044845122515,755,882,0.7285587975243147,824,899,0.7292672224659938,831,930,0.7411255411255411,856
C12,667,0.6487542745481192,664,845,0.6921348314606741,770,854,0.7063563115487914,789,875,0.7130820399113083,804
D01,759,0.6909770920991117,739,853,0.7398119122257053,826,865,0.7020044543429844,788,897,0.6938954765041722,790
D02,766,0.7017707362534948,753,865,0.6922048997772828,777,854,0.7511190689346464,839,905,0.7343544857768053,839
D03,761,0.6809901914992994,729,859,0.7110317105850826,796,858,0.7086684539767649,793,898,0.6769095697980685,771
D04,562,0.568486096807415,552,852,0.7195340501792115,803,877,0.7487815684536996,845,924,0.7630208333333334,879
D05,777,0.7093184979137691,765,874,0.7116237799467613,802,871,0.6992447800977344,787,909,0.7426823940585409,850
D06,818,0.7315741583257507,804,867,0.7067200712060525,794,846,0.7304582210242587,813,889,0.7395328338475099,839
D07,825,0.710204081632653,783,842,0.7029702970297029,781,864,0.7094474153297683,796,935,0.7637149028077754,884
D08,685,0.6527845036319613,674,848,0.6929982046678635,772,895,0.7323076923076923,833,920,0.6947826086956522,799
D09,740,0.689622641509434,731,865,0.6948775055679287,780,867,0.730752113929684,821,904,0.7267950963222417,830
D10,785,0.710392609699769,769,875,0.7458980044345898,841,890,0.7506607929515419,852,905,0.7544857768052516,862
D11,821,0.7214902317128578,794,842,0.7002700270027002,778,872,0.7442273534635879,838,908,0.7403846153846154,847
D12,777,0.6917014371812703,746,827,0.6887177163570458,760,869,0.6998666073810582,787,869,0.7327701200533571,824
E01,807,0.7123914037494284,779,865,0.7126948775055679,800,875,0.7210643015521064,813,819,0.7212369258753979,793
E02,719,0.6765126250595521,710,849,0.7276805742485419,811,865,0.7153674832962138,803,921,0.7101260321599304,817
E03,698,0.6631376323387873,689,864,0.696078431372549,781,865,0.7055679287305122,792,944,0.7461273666092944,867
E04,705,0.6637889688249401,692,830,0.6723981900452489,743,869,0.7149844375277902,804,932,0.7318339100346021,846
E05,727,0.6815377313716184,718,893,0.7355917289925209,836,875,0.751219512195122,847,905,0.7352297592997812,840
E06,776,0.7059369202226345,761,867,0.6995994659546061,786,867,0.7316421895861148,822,928,0.7512998266897747,867
E07,819,0.7221464301955435,794,857,0.72954850245865,816,863,0.7516718680338832,843,898,0.7506584723441615,855
E08,774,0.6991643454038997,753,855,0.7373601789709172,824,870,0.72,810,926,0.7727666955767563,891
E09,817,0.7073281747837961,777,868,0.7384341637010676,830,869,0.7630057803468208,858,858,0.7176050044682752,803
E10,758,0.6922357343311506,740,855,0.7185682326621924,803,880,0.7017699115044248,793,930,0.7653679653679654,884
E11,761,0.7034096216721158,753,876,0.6985815602836879,788,862,0.72078501338091,808,921,0.7414167753150804,853
E12,798,0.7254361799816346,790,853,0.6887595163457232,769,883,0.7317719840919134,828,910,0.7406113537117904,848
F01,368,0.42105263157894735,368,848,0.6929982046678635,772,850,0.7228699551569506,806,899,0.750329091706889,855
F02,746,0.6792097836312324,722,856,0.7084078711985689,792,844,0.7221223021582733,803,875,0.7352549889135255,829
F03,486,0.5112540192926045,477,874,0.6779059449866903,764,878,0.7068201948627104,798,1804,0.2518844221105528,401
F04,825,0.7201814058956916,794,876,0.74822695035461,844,863,0.739188586714222,829,931,0.730419731717871,844
F05,718,0.6596758817921831,692,848,0.7082585278276481,789,855,0.7051454138702461,788,924,0.734375,846
F06,772,0.7063197026022305,760,866,0.7497773820124666,842,871,0.7285650821856953,820,912,0.7294938917975567,836
F07,806,0.7255260750228728,793,867,0.7085002225189141,796,851,0.7270282384580905,811,896,0.7363796133567663,838
F08,719,0.6746069556931872,708,889,0.7016306743058616,796,862,0.7341659232827832,823,873,0.698624056813138,787
F09,470,0.505945945945946,468,899,0.6810004387889426,776,873,0.704837993786063,794,877,0.7027027027027027,793
F10,756,0.6985018726591761,746,873,0.7598757212605415,856,887,0.7525363917071018,853,900,0.7087719298245614,808
F11,815,0.7271070615034169,798,850,0.705829596412556,787,873,0.7261429205503773,818,915,0.7694989106753812,883
F12,811,0.717480602464628,786,847,0.6986977997305792,778,848,0.7235188509874326,806,751,0.6963866729235101,742
G01,662,0.6415279138099902,655,857,0.6982565936522128,781,842,0.7236723672367237,804,923,0.742509769865393,855
G02,844,0.6951438848920863,773,857,0.7438533750558785,832,854,0.7511190689346464,839,919,0.7246628969117007,833
G03,765,0.6871794871794872,737,842,0.7002700270027002,778,925,0.7505422993492408,865,914,0.7096774193548387,814
G04,392,0.44243792325056436,392,852,0.7311827956989247,816,847,0.7480916030534351,833,906,0.6999125109361329,800
G05,850,0.6887892376681615,768,855,0.7015659955257271,784,816,0.726775956284153,798,862,0.6886708296164139,772
G06,553,0.5463010863942059,528,864,0.7344028520499108,824,875,0.7388026607538802,833,868,0.7055160142348754,793
G07,737,0.675484175720359,715,869,0.7149844375277902,804,901,0.7207365190705831,822,897,0.7413263065436978,844
G08,780,0.7018518518518518,758,857,0.7089852481001341,793,865,0.7412026726057906,832,926,0.7311361665221162,843
G09,769,0.6886924150767799,740,859,0.7012058954890577,785,871,0.7232341181697024,814,901,0.6812801402893468,777
G10,809,0.7227044312471448,791,872,0.7317939609236235,824,870,0.7528888888888889,847,925,0.7262472885032538,837
G11,728,0.6793168880455408,716,840,0.690990990990991,767,860,0.7428571428571429,832,915,0.7694989106753812,883
